EventId,EventTemplate,Occurrences
dff2fdce,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",3884
8fb8b881,"<*> close, <*> bytes <*> <*>) sent, <*> bytes received, lifetime <*>",1147
56ab45ba,<*> open through proxy <*> HTTPS,10219
d91f208d,"<*> close, <*> bytes <*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>",3294
8de4f8f9,"<*> close, <*> bytes sent, <*> bytes <*> <*>) received, lifetime <*>",1887
b1fe74a1,<*> open through proxy <*> SOCKS5,8
cb4cfc43,<*> error : A connection request was canceled before the completion.,305
bd37133d,<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.,14
c90d6a41,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code 403",207
dd7ee7d9,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code 503",23
46004c2d,"<*> (IPv6) error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code 503",3
00188feb,<*> error : Could not connect to proxy <*> - Could not resolve <*> error 11001,113
8aa52ee9,<*> error : Could not connect to proxy <*> - <*> <*> <*> <*> error <*>,216
