EventId,EventTemplate,Occurrences
4dba672c,onStandStepChanged <*>,30161
1479388c,onReceive action: <*>,3239
4f04f319,processHandleBroadcastAction <*>,8602
6634c941,flush sensor data,1617
1753ecfa,getTodayTotalDetailSteps = <*>,27447
1863d3b0,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,1
ac2d7346,calculateCaloriesWithCache <*>,27426
e04e83e7,calculateAltitudeWithCache <*>,27426
efda0e3c,REPORT : <*> <*> <*> <*>,23539
f539ccde,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,1
ed39cada,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,1
5a57206b,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,1
c1260b73,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,1
0b760e90,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,1
ddf56541,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,1
115ebd6f,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,1
22ea94e0,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,1
8b31e03b,isScreenOn <*>,227
0bb73e48,"screen status unknown,think screen on",42
b78048a7,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,1
86090b78,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,1
45f9a5e1,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,1
a1730ad5,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,1
2a1f2dcb,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,1
8f676e3a,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,1
c0332ffb,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,1
0b3a25d3,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,1
445eeb0c,setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974,1
40873cc9,setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972,1
5541cd7f,setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467,1
7fdb817d,setTodayTotalDetailSteps=1514038440000##7028##548365##8661##14261##27185977,1
b0117df7,setTodayTotalDetailSteps=1514038440000##7029##548365##8661##14356##27186469,1
992767b1,setTodayTotalDetailSteps=1514038440000##7030##548365##8661##14451##27187468,1
abb3d736,setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968,1
aaba2de6,setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471,1
0ae2fdd0,setTodayTotalDetailSteps=1514038440000##7033##548365##8661##14736##27189469,1
6c08f430,setTodayTotalDetailSteps=1514038440000##7034##548365##8661##14831##27189969,1
ca05683c,setTodayTotalDetailSteps=1514038440000##7035##548365##8661##14926##27190469,1
26cfb7ee,setTodayTotalDetailSteps=1514038440000##7036##548365##8661##15021##27190970,1
29efd8ed,setTodayTotalDetailSteps=1514038440000##7037##548365##8661##15116##27191969,1
fc6e953a,setTodayTotalDetailSteps=1514038440000##7038##548365##8661##15211##27192478,1
f708bf85,setTodayTotalDetailSteps=1514038440000##7039##548365##8661##15306##27192971,1
b3432e08,setTodayTotalDetailSteps=1514038440000##7040##548365##8661##15401##27193971,1
8c86f479,setTodayTotalDetailSteps=1514038440000##7041##548365##8661##15496##27194480,1
5c09139a,setTodayTotalDetailSteps=1514038440000##7042##548365##8661##15591##27195470,1
d6a2b41a,setTodayTotalDetailSteps=1514038440000##7044##548365##8661##15686##27196480,1
56ed24a5,setTodayTotalDetailSteps=1514038440000##7045##548365##8661##15781##27196970,1
54230af4,setTodayTotalDetailSteps=1514038440000##7047##548365##8661##15876##27197972,1
9a97627f,setTodayTotalDetailSteps=1514038440000##7048##548365##8661##15971##27198970,1
d3e3970c,setTodayTotalDetailSteps=1514038440000##7050##548365##8661##16066##27199969,1
0d11e3d9,setTodayTotalDetailSteps=1514038440000##7052##548365##8661##16161##27200470,1
3f9f1f7a,setTodayTotalDetailSteps=1514038440000##7053##548365##8661##16256##27202475,1
b952b35c,setTodayTotalDetailSteps=1514038500000##7054##548458##8661##16256##27204469,1
2ae43bc2,setTodayTotalDetailSteps=1514038500000##7054##548551##8661##16256##27205469,1
639dac8a,setTodayTotalDetailSteps=1514038560000##7054##548552##8661##16256##27283470,1
5a19dda1,setTodayTotalDetailSteps=1514038560000##7056##548553##8661##16256##27284971,1
3a2e79d6,setTodayTotalDetailSteps=1514038560000##7058##548554##8661##16256##27285475,1
c8e3cb82,setTodayTotalDetailSteps=1514038560000##7060##548555##8661##16256##27285968,1
d89d09eb,setTodayTotalDetailSteps=1514038560000##7062##548556##8661##16256##27286470,1
88fa24d6,setTodayTotalDetailSteps=1514038560000##7064##548557##8661##16256##27286970,1
02c89774,setTodayTotalDetailSteps=1514038560000##7066##548558##8661##16256##27287469,1
8d50d20d,setTodayTotalDetailSteps=1514038560000##7068##548559##8661##16256##27287972,1
78d166e0,setTodayTotalDetailSteps=1514038560000##7070##548560##8661##16256##27288471,1
dba06521,setTodayTotalDetailSteps=1514038560000##7071##548561##8661##16256##27288973,1
22b41b49,setTodayTotalDetailSteps=1514038560000##7074##548562##8661##16256##27289470,1
b86724fe,setTodayTotalDetailSteps=1514038560000##7074##548563##8661##16256##27292475,1
1abb2057,setTodayTotalDetailSteps=1514038560000##7075##548564##8661##16256##27309470,1
a00bab5b,setTodayTotalDetailSteps=1514038560000##7077##548565##8661##16256##27309969,1
20293f84,setTodayTotalDetailSteps=1514038560000##7079##548566##8661##16256##27310473,1
1c615dbb,setTodayTotalDetailSteps=1514038560000##7081##548567##8661##16256##27310970,1
a9bdd6ac,setTodayTotalDetailSteps=1514038560000##7083##548568##8661##16256##27311472,1
9ba44f0a,setTodayTotalDetailSteps=1514038560000##7084##548569##8661##16256##27311970,1
0696719a,setTodayTotalDetailSteps=1514038560000##7086##548570##8661##16256##27312467,1
6df47851,setTodayTotalDetailSteps=1514038560000##7088##548571##8661##16256##27312967,1
baf2568a,setTodayTotalDetailSteps=1514038560000##7090##548572##8661##16256##27313468,1
5d99e71c,setTodayTotalDetailSteps=1514038560000##7092##548573##8661##16256##27313974,1
2f96a33a,setTodayTotalDetailSteps=1514038560000##7094##548574##8661##16256##27314468,1
fd5e785b,setTodayTotalDetailSteps=1514038560000##7095##548575##8661##16256##27314968,1
80069c00,setTodayTotalDetailSteps=1514038560000##7097##548576##8661##16256##27315469,1
9db1d206,setTodayTotalDetailSteps=1514038560000##7099##548577##8661##16256##27315983,1
4da9a20b,setTodayTotalDetailSteps=1514038560000##7101##548578##8661##16256##27316470,1
41e26c89,setTodayTotalDetailSteps=1514038560000##7102##548579##8661##16256##27317468,1
b091e428,setTodayTotalDetailSteps=1514038560000##7103##548580##8661##16256##27318472,1
19a7163c,setTodayTotalDetailSteps=1514038560000##7104##548581##8661##16256##27319473,1
347be683,setTodayTotalDetailSteps=1514038560000##7105##548582##8661##16256##27319968,1
7d0e0a7d,setTodayTotalDetailSteps=1514038560000##7106##548583##8661##16256##27320969,1
68bc0b18,setTodayTotalDetailSteps=1514038560000##7107##548584##8661##16256##27321969,1
e305fc06,setTodayTotalDetailSteps=1514038560000##7109##548585##8661##16256##27322469,1
afc75a1e,setTodayTotalDetailSteps=1514038620000##7111##548640##8661##16256##27324478,1
5e888bec,setTodayTotalDetailSteps=1514038620000##7112##548695##8661##16256##27325968,1
86df97e6,setTodayTotalDetailSteps=1514038620000##7113##548750##8661##16256##27326969,1
86f1f980,setTodayTotalDetailSteps=1514038620000##7114##548805##8661##16256##27329972,1
b5bcf4b4,setTodayTotalDetailSteps=1514038620000##7114##548860##8661##16256##27330470,1
b4ed4b6f,setTodayTotalDetailSteps=1514038680000##7117##548865##8661##16256##27392475,1
d3991d03,setTodayTotalDetailSteps=1514038680000##7122##548870##8661##16256##27392978,1
1e4a60f3,setTodayTotalDetailSteps=1514038680000##7124##548875##8661##16256##27393470,1
edf42f10,setTodayTotalDetailSteps=1514038680000##7126##548880##8661##16256##27393971,1
32d4c8eb,setTodayTotalDetailSteps=1514038680000##7128##548885##8661##16256##27394469,1
c279ed4f,setTodayTotalDetailSteps=1514038680000##7130##548890##8661##16256##27394969,1
ba4734ca,setTodayTotalDetailSteps=1514038680000##7132##548895##8661##16256##27395468,1
010a3d14,setTodayTotalDetailSteps=1514038680000##7135##548900##8661##16256##27395969,1
55855544,setTodayTotalDetailSteps=1514038680000##7139##548905##8661##16256##27396473,1
d596641e,setTodayTotalDetailSteps=1514038680000##7140##548910##8661##16256##27396969,1
d824eed8,setTodayTotalDetailSteps=1514038680000##7154##548915##8661##16256##27398975,1
3106ae7b,setTodayTotalDetailSteps=1514038680000##7154##548920##8661##16256##27400475,1
1dbccff9,setTodayTotalDetailSteps=1514038680000##7160##548925##8661##16256##27442097,1
3aa7a1d1,setTodayTotalDetailSteps=1514038680000##7160##548930##8661##16256##27442416,1
41cf8843,flushTempCacheToDB by <*>,437
4566e228,Alarm uploadStaticsToDB <*>,307
138e761b,<*> size <*>,437
748e4fd0,upLoadOneMinuteDataToEngine <*>,1920
1f6ba42b,<*> <*> = <*>,4673
ef6426b1,<*> <*> <*> <*> <*> <*> = <*>,744
05cc526d,insertHiHealthData() <*> <*> <*> = <*>,744
16addeb4,<*> <*> = <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1536
3f0776f2,"saveStatData() type <*> = <*> = 2,who is 1",1172
07000791,new date <*> <*>,7237
d109ab0b,<*> <*> <*> <*> = <*> <*> <*>,288
d0d9c08a,<*> <*> = <*> <*> <*>,1181
3dff35a3,insertHiHealthData() <*> <*> <*> = <*> <*> <*>,212
2d669cd0,insertHiHealthData() <*> <*> = <*>,744
e663518f,<*> <*> <*> = <*> <*>,744
54c4741d,uploadStaticsToDB failed message=true,212
5cc035b6,<*> <*> <*> <*> is <*>,2095
d09a4009,<*> <*> is <*> <*> <*> <*>,705
a28aad91,<*> <*> <*> <*> <*> <*> <*> is 1 <*> <*> <*>,705
d5dfbba7,startInsertSportSync <*> <*> <*> <*> <*> <*>,705
0b2578ec,<*> <*> is <*>,792
d8f17e25,<*> the <*> <*> is <*> <*> <*> <*> <*>,1584
214c72c7,<*> the <*> <*> <*>,1584
3e025495,ifCanSync not! no cloud version,792
f3cdfdb2,sendSyncFailedBroadcast,792
072f15ba,InsertEvent success <*> <*>,436
c347d32e,setWriteDBLastDataMinute=25233979,1
c4f2a7eb,setTodayTotalDetailSteps=1514038680000##7163##548935##8661##16256##27442827,1
859edf28,setTodayTotalDetailSteps=1514038680000##7165##548940##8661##16256##27443484,1
b8e348a5,setTodayTotalDetailSteps=1514038680000##7167##548945##8661##16256##27443986,1
a6fee1aa,setTodayTotalDetailSteps=1514038740000##7170##548996##8661##16256##27444484,1
cc21f8d6,setTodayTotalDetailSteps=1514038740000##7173##549047##8661##16256##27444985,1
511ce2d8,setTodayTotalDetailSteps=1514038740000##7174##549098##8661##16256##27445485,1
e484cb43,setTodayTotalDetailSteps=1514038740000##7176##549149##8661##16256##27445983,1
b430c404,setTodayTotalDetailSteps=1514038740000##7179##549200##8661##16256##27446483,1
b8a6f07f,setTodayTotalDetailSteps=1514038740000##7181##549251##8661##16256##27446989,1
a7d80659,setTodayTotalDetailSteps=1514038740000##7183##549302##8661##16256##27447483,1
2a60f9af,setTodayTotalDetailSteps=1514038740000##7185##549353##8661##16256##27448486,1
ae6aaec7,setTodayTotalDetailSteps=1514038740000##7186##549404##8661##16256##27448983,1
14d9713d,setTodayTotalDetailSteps=1514038740000##7187##549455##8661##16256##27449982,1
e86570e6,setTodayTotalDetailSteps=1514038740000##7188##549506##8661##16256##27451985,1
cf3417f3,setTodayTotalDetailSteps=1514038740000##7189##549557##8661##16256##27452491,1
ddd36a3e,setTodayTotalDetailSteps=1514038740000##7189##549608##8661##16256##27457484,1
3304709e,setTodayTotalDetailSteps=1514038740000##7189##549659##8661##16256##27460494,1
b01c927c,setTodayTotalDetailSteps=1514038980000##7189##549659##8661##16256##27706526,1
ca036795,setTodayTotalDetailSteps=1514038980000##7189##549659##8661##16256##27706835,1
e3cc3255,setTodayTotalDetailSteps=1514038980000##7189##549659##8661##16256##27736503,1
d8df9f46,setTodayTotalDetailSteps=1514038980000##7189##549659##8661##16256##27738504,1
f0cec284,setTodayTotalDetailSteps=1514038980000##7189##549659##8661##16256##27743510,1
29e358f2,setTodayTotalDetailSteps=1514039340000##7189##549659##8661##16256##28068346,1
20d067de,setTodayTotalDetailSteps=1514039340000##7189##549659##8661##16256##28068666,1
d1cd076a,setTodayTotalDetailSteps=1514039400000##7189##549659##8661##16256##28136544,1
0ada8f25,setTodayTotalDetailSteps=1514039400000##7189##549659##8661##16256##28163940,1
fbaee9b2,timeStamp <*>,651
6d875734,setTodayTotalDetailSteps=1514039400000##7189##549659##8661##16256##28164276,1
de430df8,setTodayTotalDetailSteps=1514039520000##7189##549659##8661##16256##28234547,1
88be3cd8,setTodayTotalDetailSteps=1514039520000##7189##549659##8661##16256##28270623,1
54781bc3,setTodayTotalDetailSteps=1514039520000##7189##549659##8661##16256##28270935,1
7759550f,setTodayTotalDetailSteps=1514039760000##7189##549659##8661##16256##28479559,1
f24dafb3,setTodayTotalDetailSteps=1514039880000##7189##549659##8661##16256##28609620,1
3d0903ea,setTodayTotalDetailSteps=1514039880000##7189##549659##8661##16256##28609933,1
cc0ecddb,setTodayTotalDetailSteps=1514040240000##7189##549659##8661##16256##28993578,1
f01b6cea,setTodayTotalDetailSteps=1514040240000##7189##549659##8661##16256##28999575,1
ca84861e,setTodayTotalDetailSteps=1514040600000##7189##549659##8661##16256##29307585,1
9e57dfa3,setTodayTotalDetailSteps=1514040600000##7189##549659##8661##16256##29341612,1
e969ce2f,setTodayTotalDetailSteps=1514040600000##7189##549659##8661##16256##29341927,1
d3a28e29,setTodayTotalDetailSteps=1514040600000##7189##549659##8661##16256##29344951,1
f9bca220,setTodayTotalDetailSteps=1514040600000##7189##549659##8661##16256##29353602,1
5f9c151c,setTodayTotalDetailSteps=1514040660000##7189##549659##8661##16256##29409806,1
09643a22,setTodayTotalDetailSteps=1514040660000##7189##549659##8661##16256##29410120,1
23783ca7,setTodayTotalDetailSteps=1514040660000##7189##549659##8661##16256##29410605,1
c1a4eac4,setTodayTotalDetailSteps=1514040660000##7189##549659##8661##16256##29416607,1
4fc7c4f4,setTodayTotalDetailSteps=1514040720000##7189##549659##8661##16256##29425533,1
6474f17a,setTodayTotalDetailSteps=1514040720000##7189##549659##8661##16256##29425847,1
e5c84570,setTodayTotalDetailSteps=1514040720000##7189##549659##8661##16256##29431618,1
59dc7dd0,setTodayTotalDetailSteps=1514040720000##7189##549659##8661##16256##29437037,1
53992e70,setTodayTotalDetailSteps=1514040720000##7189##549659##8661##16256##29437358,1
aa30e564,setTodayTotalDetailSteps=1514040780000##7189##549659##8661##16256##29539649,1
