EventId,EventTemplate,Occurrences
78996bdd,restart.,42
e2e2f763,syslogd startup succeeded,9
c4abea2c,klogd startup succeeded,9
f926f5ed,"klogd 1.4.1, log source = /proc/kmsg started.",9
2cd6d10d,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 <*> EDT 2004,8
5cb4dcf4,BIOS-provided physical RAM map:,8
bd552545,BIOS-e820:  -  (usable),16
f8749cd8,BIOS-e820:  -  (reserved),24
70d0b7b3,126MB LOWMEM available.,8
4475646e,zapping low mappings.,8
89e41320,On node 0 totalpages: 32430,8
de566a4c,"DMA zone: 4096 pages, LIFO batch:1",8
23d512cf,"Normal zone: 28334 pages, LIFO batch:6",8
f81bd90d,"HighMem zone: 0 pages, LIFO batch:1",8
c8fb83f1,DMI 2.3 present.,8
068fbf46,ACPI disabled because your bios is from 2000 and too old,8
06e4070c,You can enable it with acpi=force,8
ce85852a,Built 1 zonelists,8
85a83e6b,irqbalance startup succeeded,8
6bcffc16,Kernel command line: ro root=LABEL=/ rhgb quiet,7
867e70a6,mapped 4G/4G trampoline to ffff3000.,8
11ffa6be,Initializing CPU#0,8
e052d25e,portmap startup succeeded,8
ae392113,"CPU 0 irqstacks, hard=02345000 soft=02344000",8
911f3f5b,PID hash table entries: 512 (order 9: 4096 bytes),8
26dcb8fa,Detected  MHz processor.,8
2cacc501,Using tsc for high-res timesource,8
75194edc,Console: colour VGA+ 80x25,8
b7ac2ad4,"Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)",8
090dec09,Calibrating delay loop...  BogoMIPS,8
625bc432,Security Scaffold v1.0.0 initialized,8
2e7edb68,SELinux: Initializing.,8
c73d5365,SELinux: Starting in permissive mode,8
92f38af7,"There is already a security framework initialized, register_security failed.",8
f4531fe0,Failure registering capabilities with the kernel,8
ab0ff39f,selinux_register_security: Registering secondary module capability,8
995ee000,Capability LSM initialized,8
c652c002,"Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)",8
d84d0c25,"Inode-cache hash table entries: 8192 (order: 3, 32768 bytes)",8
500a6615,"Mount-cache hash table entries: 512 (order: 0, 4096 bytes)",8
72d065cb,Version 1.0.6 Starting,8
08cb21a6,rpc.statd startup succeeded,8
33127630,"CPU: L1 I cache: 16K, L1 D cache: 16K",8
875bf9ed,CPU: L2 cache: 256K,8
3797c3f8,Intel machine check architecture supported.,8
8f3f5cf7,CPU: Intel Pentium III (Coppermine) stepping 06,8
6840ff9f,Enabling fast FPU save and restore... done.,8
8d0b0805,Enabling unmasked SIMD FPU exception support... done.,8
8177bcff,Checking 'hlt' instruction... OK.,8
cb7aa6e4,POSIX conformance testing by UNIFIX,8
64c739ef,NET: Registered protocol family ,48
8630412f,"PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1",8
05be387f,PCI: Using configuration type 1,8
ca5bfdc0,ACPI: Subsystem revision 20040326,8
51836d0d,ACPI: Interpreter disabled.,8
91511598,Linux Plug and Play Support v0.97 (c) Adam Belay,8
00835605,usbcore: registered new driver ,32
d77fb1e6,rpc.idmapd startup succeeded,8
dbbbedfa,ACPI: ACPI tables contain no PCI IRQ routing entries,8
dce3be49,PCI: Invalid ACPI-PCI IRQ routing table,8
9f45ab13,Initializing random number generator: succeeded,8
01e69759,PCI: Probing PCI hardware,8
f6612193,PCI: Probing PCI hardware (bus 00),8
0c202b29,Transparent bridge - 0000:00:1e.0,8
0eb41a64,PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0,8
6927be79,apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac),8
e3816864,audit: initializing netlink socket (disabled),7
985ce293,audit(1118297138.4294965368:0): initialized,1
add074a6,"Total HugeTLB memory allocated, 0",8
7e5527d8,Starting pcmcia: succeeded,8
8ec80336,VFS: Disk quotas dquot_6.5.1,8
53afafca,"Dquot-cache hash table entries: 1024 (order 0, 4096 bytes)",8
94453cdc,SELinux:  netfilter hooks,15
d6bd2fc9,Initializing Cryptographic API,8
2a4a45de,pci_hotplug: PCI Hot Plug PCI Core version: 0.5,8
7681522b,isapnp: Scanning for PnP cards...,8
f73b80ae,isapnp: No Plug & Play device found,8
18c74772,Real Time Clock Driver v1.12,8
f644054b,Linux agpgart interface v0.100 (c) Dave Jones,8
ed1f4ac2,agpgart: Detected an Intel i810 E Chipset.,8
1e72cf9a,agpgart: Maximum main memory to use for agp memory: 93M,8
ec34de39,hcid startup succeeded,8
3a5e635e,agpgart: detected 4MB dedicated video ram.,8
b965288c,HCI daemon ver 2.4 started,8
aa511af6,Setting network parameters: succeeded,7
907541ab,sdpd startup succeeded,8
ef1117e3,agpgart: AGP aperture is 64M @ 0xf4000000,8
44a8ef10,Bringing up loopback interface: succeeded,7
361a7041,"Serial: 8250/16550 driver $Revision: 1.90 $ 8 ports, IRQ sharing enabled",8
60bde91e,RAMDISK driver initialized: 16 RAM disks of 16384K size 1024 blocksize,8
1564418e,Uniform Multi-Platform E-IDE driver Revision: 7.00alpha2,8
8631f5fd,Mounting other filesystems: succeeded,8
7e77542a,ide: Assuming 33MHz system bus speed for PIO modes; override with idebus=xx,8
a6b6dd2d,ICH: IDE controller at PCI slot 0000:00:1f.1,8
151f82cd,"Version 3.0.2 (APM BIOS 1.2, Linux driver 1.16ac)",8
51259001,apmd startup succeeded,8
63c6a157,ICH: chipset revision 2,8
523917e5,"ide0: BM-DMA at 0xffa0-0xffa7, BIOS settings: hda:DMA, hdb:pio",8
49966373,automount startup succeeded,8
8ea7806f,"ide1: BM-DMA at 0xffa8-0xffaf, BIOS settings: hdc:DMA, hdd:pio",8
d37bfc40,Using cfq io scheduler,8
0b6254db,Home page is http://smartmontools.sourceforge.net/,8
eaa372d7,"ide0 at 0x1f0-0x1f7,0x3f6 on irq 14",8
5a4503f6,Opened configuration file /etc/smartd.conf,8
a1670771,Configuration file /etc/smartd.conf parsed.,8
eec28e96,"Device: /dev/hda, opened",8
0a7c37c3,"ide1 at 0x170-0x177,0x376 on irq 15",8
14527e51,Charge: * * * (-1% unknown),8
0a8b2db1,"Device: /dev/hda, found in smartd database.",8
2130e76a,hda: max request size: 128KiB,8
04473c2d,"Device: /dev/hda, is SMART capable. Adding to ""monitor"" list.",8
9b017fd3,"hda: 29336832 sectors (15020 MB) w/1916KiB Cache, CHS=29104/16/63, UDMA(66)",8
a2320e3f,Monitoring 1 ATA and 0 SCSI devices,8
89fcac88,smartd has fork()ed into background mode. New ,8
c1aec3f3,smartd startup succeeded,8
bef5e7dc,Uniform CD-ROM driver Revision: 3.20,8
4f79f867,ide-floppy driver 0.99.newide,8
7d137d12,mice: PS/2 mouse device common for all mice,8
90862461,"serio: i8042  port at 0x60,0x64 irq ",16
f8f02bab,input: ImPS/2 Logitech Wheel Mouse on isa0060/serio1,8
61e0f1ac,input: AT Translated Set 2 keyboard on isa0060/serio0,8
c57c9e3b,"md: md driver 0.90.0 MAX_MD_DEVS=256, MD_SB_DISKS=27",8
9c8fb69c,"IP: routing cache hash table of 512 buckets, 4Kbytes",8
19776050,TCP: Hash tables configured (established 8192 bind 16384),8
31ec7739,Initializing IPsec netlink socket,8
bbcf9346,checking if image is initramfs...it isn't (no cpio magic); looks like an initrd,8
160b594f,Freeing initrd memory: 186k freed,8
2976eb95,md: Autodetecting RAID arrays.,8
32235261,md: autorun ...,8
0add59ac,RAMDISK: Compressed image found at block 0,8
70f723cc,Starting hpoj: succeeded,8
2c1e5c5b,VFS: Mounted root (ext2 filesystem).,8
c2f3a71c,EXT3-fs: write access will be enabled during recovery.,4
ec8854d7,kjournald starting. Commit interval 5 seconds,16
0f5f660d,EXT3-fs: hda2: 4 orphan inodes deleted,1
f48ed4b2,EXT3-fs: recovery complete.,4
015388e9,EXT3-fs: mounted filesystem with ordered data mode.,16
f0dc3a50,Freeing unused kernel memory: 144k freed,8
54e84997,SELinux: Disabled at runtime.,7
fec723ae,Disabled Privacy Extensions on device 022db720(lo),8
14f1f2c0,IPv6 over IPv4 tunneling driver,8
dcfd6ab8,USB Universal Host Controller Interface driver v2.2,8
37ef7b7a,PCI: Found IRQ  for device ,24
a74b3f4b,uhci_hcd 0000:00:1f.2: UHCI Host Controller,8
3985cca0,"uhci_hcd 0000:00:1f.2: irq 11, io base 0000ff80",8
14f741c3,"uhci_hcd 0000:00:1f.2: new USB bus registered, assigned bus number 1",8
ca19e9d3,EXT3 FS on  internal journal,16
918c58e2,cdrom: open failed.,8
50184ac7,Adding 262072k swap on /dev/hda3. Priority:-1 extents:1,8
c6a757cc,microcode: CPU0 already at revision 0x8 (current=0x8),8
e4e9ae09,microcode: No suitable data for cpu 0,8
a2044dbd,"parport0: PC-style at 0x378 (0x778) [PCSPP,TRISTATE,EPP]",16
a143a7c3,parport0: irq 7 detected,16
a811b34c,SCSI subsystem initialized,8
c3cec59f,inserting floppy driver for 2.6.5-1.358,8
1d9bfc43,Floppy drive(s): fd0 is 1.44M,8
0df1ae9c,FDC 0 is a National Semiconductor PC87306,8
11933eee,3c59x: Donald Becker and others. www.scyld.com/network/vortex.html,16
e07cd137,ip_tables: (C) 2000-2002 Netfilter core team,17
bf61093b,process `syslogd' is using obsolete setsockopt SO_BSDCOMPAT,8
646a5c5f,Bluetooth: Core ver 2.4,8
786e72af,Bluetooth: HCI device and connection manager initialized,8
0efba9fd,Bluetooth:   layer initialized,24
209d5459,Bluetooth: L2CAP ver 2.1,8
d7a863dc,Bluetooth: RFCOMM ver 1.2,8
1337b824,cupsd startup succeeded,41
32d0250e,succeeded,16
e3b3c521,xinetd startup succeeded,8
b3675075,No such internal service: services/stream - DISABLING,8
ac74e097,sendmail startup succeeded,9
ac67f555,sm-client startup succeeded,9
be649d37,bind failed (Address already in use (errno = 98)). service = telnet,8
eb072cc2,Service telnet failed to start and is deactivated.,8
99d1e3fb,xinetd Version 2.3.13 started with libwrap loadavg options compiled in.,8
ff6da2ce,Started working: 30 available services,8
032a3bc3,spamd startup succeeded,8
74758846,Jun  <*>  Info: loading configuration file '/etc/privoxy/config':,2
98fef271,creating device node ,268
043b7eba,privoxy startup succeeded,8
5857ec9a,*** info [startup.c(95)]:,8
a0f36799,Started gpm successfully. Entered daemon mode.,8
0c4ed6cb,*** info [mice.c(1766)]:,15
6281818e,imps2: Auto-detected intellimouse PS/2,15
c1cd3db1,gpm startup succeeded,8
a3697c22,session opened for user  by ,561
9a85d647,session closed for user ,561
f472eb53,htt startup succeeded,8
4e287fe6,started.,8
a4c10530,crond startup succeeded,8
78fcfdec,xfs startup succeeded,8
7e31404a,anacron startup succeeded,8
452a7966,atd startup succeeded,8
e0abe6c9,Starting background readahead:,8
09640dff,Starting readahead: succeeded,8
271cc766,messagebus startup succeeded,8
baef46da,httpd startup succeeded,8
0bd33e43,Squid Parent: child process  started,8
6880de23,starting BIND 9.2.3 -u named -t /var/named/chroot,8
95b1a825,using 1 CPU,8
8c68af4c,named startup succeeded,8
018ef2a8,loading configuration from '/etc/named.conf',8
f920ba7b,listening on IPv4 interface  <*>#53,192
10964d0b,snmpd startup succeeded,8
45ce1e6f,NET-SNMP version 5.1.1,8
73b63daf,ntpd startup succeeded,8
2eba815d,precision =  usec,8
cfb119db,kernel time sync  ,24
77ca5b48,frequency initialized 0.000 PPM from /var/lib/ntp/drift,8
9b97e6f4,"configure: keyword ""authenticate"" unknown, line ignored",8
f2acc4c2,couldn't add command channel  not found,16
fd02d829,Starting MySQL: succeeded,9
ea31f21f,running,8
180292b1,"rsyncd version 2.6.2 starting, listening on port 873",8
aa555282,removing device node ,216
675d6466,"synchronized to LOCAL(0), stratum=10",8
d5908ef6,file descriptor of service comsat has been closed,8
ee330b69,select reported EBADF but no bad file descriptors were found,8
f1f7711d,ALERT exited abnormally with [1],231
fad3f5f8,audit(1118403053.397:0): initialized,1
6686ef46,kernel.core_uses_pid = 1,4
5fe6f5c0,check pass; user unknown,1043
5103f88d,connection from <*> () at    <*> ,1580
ac015b1d,authentication failure;   euid=0  ruser=  ,2879
8531a26e,cupsd shutdown succeeded,37
52bc648f,connection from <*>  at    <*> ,1777
982e97ff,bad username [;;],1
6444ea09,Couldn't authenticate user,10
6d866ac9,bad username [],9
0b46abb4,User unknown timed out after 900 seconds at    <*> ,36
e56ad209,Received SNMP packet(s) from <*>,4
a7b2643f,Authentication failed from <*> (<*>): Permission denied in replay cache code,8
7fe2186b,Kerberos authentication failed,25
60a3091e,Authentication failed from <*> (<*>): Software caused connection abort,15
aec4de61,notify question section contains no SOA,16
a45f76b2,getpeername (ftpd): Transport endpoint is not connected,43
44330be5,warning: can't get client address: Connection reset by peer,18
d0e853c1,audit(1122475266.4294965305:0): initialized,1
7aba8e64,Jul 27 <*> Privoxy(-150806400) Info: loading configuration file '/etc/privoxy/config':,1
98fa0d41,ttloop: peer died: Invalid or incomplete multibyte or wide character,112
6aa0efd8,Stopping MySQL: succeeded,3
c2096aa8,*** info [client.c(137)]:,1
f9441506,Connecting at fd 6,1
063ccac4,*** info [client.c(275)]:,1
3a3d3786,*** info [client.c(284)]:,1
8f50abd3,bad username [ ],2
1aab8bf8,"FAILED LOGIN  FROM (null) FOR , Authentication failure",4
63439419,service(sshd) ignoring max retries;  > 3,11
7fb6ca22,ttloop: read: Connection reset by peer,10
9f28d074,tty2: invalid character 0x1b in login name,1
31b189f7,audit(1127109407.969:0): initialized,1
faded370,Sep  <*>  Info: loading configuration file '/etc/privoxy/config':,2
f1497fd7,sendmail shutdown failed,5
4661d1f7,sm-client shutdown succeeded,3
c8855186,shutting down for system reboot,4
0d6f5de2,Switching to runlevel: 6,4
4d105a66,messagebus -TERM succeeded,3
bc58d29a,atd shutdown succeeded,4
468ac748,privoxy shutdown succeeded,4
c0393cd4,terminating,3
f0f15d83,xfs shutdown succeeded,3
93da9db0,jserver shutdown succeeded,3
ab089e79,Stopping Canna server: succeeded,4
dca49ef0,gpm shutdown succeeded,4
83308403,httpd shutdown succeeded,4
a17b99aa,Stopping squid:,4
1eea39ad,Squid Parent: child process  exited with status 0,4
f8ff1509,Stopping squid: succeeded,4
b717dcb2,sshd -TERM succeeded,4
0e697671,spamd shutdown succeeded,4
7c9fc153,smartd received signal 15: Terminated,4
fe6458c2,smartd is exiting (exit status 0),4
7327bc4e,smartd shutdown succeeded,4
bd167261,shutting down,2
6d0a0066,no longer listening on <*>#53,48
8d218b43,exiting,2
e697e623,named shutdown succeeded,2
28a4242e,snmpd shutdown succeeded,4
5f266c00,xinetd shutdown succeeded,4
1c424845,crond shutdown succeeded,4
a2790190,Exiting,4
a1bca92d,apmd shutdown succeeded,4
c4b9be2e,ntpd exiting on signal 15,4
3b19fca5,ntpd shutdown succeeded,4
d8595ace,1+0 records in,4
247ff452,1+0 records out,4
5094c608,"Caught signal 15, un-registering and exiting.",3
22d8ced3,rpc.statd shutdown succeeded,3
bd9326d4,portmap shutdown succeeded,3
65a6d07f,Kernel logging (proc) stopped.,5
b4bfecf1,Kernel log daemon terminating.,5
3acb8bf8,klogd shutdown succeeded,5
8e657ab9,audit(1127898608.244:0): initialized,1
f40f4789,sm-client shutdown failed,3
d56cbdee,open(/dev/pts/0): No such file or directory,5
b161bbd2,password changed for test,4
d46cb631,1 more authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  user=test,5
ef037a49,wall: user test broadcasted 1 lines (36 chars),1
a7f2aba4,Client hung up - probable port-scan,1
28f0462a,rsync: connection unexpectedly closed (0 bytes read so far),1
306bc20e,rsync error: error in rsync protocol data stream (code 12) at io.c(342),1
20b28dfc,connect from 88-213-181-81-cable.canals.ro,1
79880953,[smux_accept] accepted fd 12 from <*>:1896,1
d38490a8,Unable to get command line from client!,1
4a269702,Authentication failed from <*> (88-213-181-81-cable.canals.ro): Software caused connection abort,2
2b72d353,Connection from <*> on illegal port,2
788f107b,1 more authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=88-213-181-81-cable.canals.ro user=root,1
b4c66d13,sendmail shutdown succeeded,3
effdfd21,net.ipv4.conf.default.rp_filter = 1,2
a051941d,kernel.sysrq = 0,2
86c5b897,audit(1130234885.488:0): initialized,1
35f66d59,Oct 25 <*> Privoxy(-150089600) Info: loading configuration file '/etc/privoxy/config':,1
5d295536,hda: dma_timer_expiry: dma status == 0x20,1
71f5ab28,hda: status timeout: status=0xd0 { Busy },1
e4cb7fc4,Out of Memory: Killed process  ,10404
0c6916b5,"httpd: page allocation failure. order:0, ",77
0df7787a,[<0212ebf3>] __alloc_pages+0x274/0x281,90
7573d017,[<0213d341>] read_swap_cache_async+0x41/0x84,44
a6e53e0d,[<02135dee>] swapin_readahead+0x2c/0x47,23
b8dfdee8,[<02135e66>] do_swap_page+0x5d/0x1f9,23
97f24b7a,[<021364a7>] handle_mm_fault+0x9d/0xe2,40
6694669d,[<02114537>] do_page_fault+0x12f/0x446,73
386194fe,[<0210737b>] do_IRQ+0x15d/0x169,11
b79e6728,[<0227ecc1>] schedule+0x3ed/0x44d,63
