Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,59.40,42,11,0.686,0.495,0.226,0.095,0.364,0.151
Linux,15.80,639,338,0.806,0.035,0.616,0.130,0.246,0.170
Apache,45.14,31,29,0.993,0.031,0.900,0.258,0.276,0.267
Zookeeper,47.09,162,89,0.857,0.683,0.661,0.204,0.371,0.263
Hadoop,1751.31,6575,236,0.796,0.052,0.059,0.005,0.136,0.009
OpenStack,820.82,105,48,0.861,0.019,0.444,0.048,0.104,0.065
HPC,11387.85,3152,74,0.793,0.642,0.035,0.008,0.324,0.015
Mac,261.64,7600,626,0.701,0.121,0.107,0.012,0.141,0.021
OpenSSH,403.02,42,38,0.748,0.142,0.800,0.190,0.211,0.200
HDFS,6828.02,43,46,0.999,0.137,0.831,0.419,0.391,0.404
