EventId,EventTemplate,Occurrences
6f97e9d4,restart.,42
ceae4977,<*> <*> succeeded,261
ceae4977,"klogd 1.4.1, log source = /proc/kmsg started.",261
4124b970,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8  EDT 2004,9
51a63c76,BIOS-provided physical RAM map:,8
8c537990,BIOS-e820: <*> - <*> (usable),8
6dc36b09,BIOS-e820: <*> - <*> (reserved),16
0f5f997d,126MB LOWMEM available.,24
6dc36b09,zapping low mappings.,16
0f5f997d,On node 0 totalpages: 32430,24
0f5f997d,"<*> zone: <*> pages, LIFO <*>",24
6b643c98,DMI 2.3 present.,8
42e1da55,ACPI disabled because your bios is from 2000 and too old,8
a9678e83,You can enable it with acpi=force,8
d657dc84,Built 1 zonelists,24
d657dc84,Kernel command line: ro root=LABEL=/ rhgb quiet,24
d657dc84,mapped 4G/4G trampoline to ffff3000.,24
90cdab58,Initializing CPU#0,8
3c5b4adb,"CPU 0 irqstacks, hard=02345000 soft=02344000",8
29249ae3,<*> hash table entries: <*> <*> <*> <*> bytes),8
de6cd9cf,Detected <*> MHz processor.,8
ceae4977,Using tsc for high-res timesource,261
2ec79755,Console: colour VGA+ 80x25,7
4845b66c,"Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)",8
fe3c862d,Calibrating delay loop... <*> BogoMIPS,8
ceae4977,Security Scaffold v1.0.0 initialized,261
2c065952,SELinux:  Initializing.,8
694e91c5,SELinux:  Starting in permissive mode,32
481e7ae7,"There is already a security framework initialized, register_security failed.",7
85959353,Failure registering capabilities with the kernel,8
a5b547df,selinux_register_security:  Registering secondary module capability,8
1559494b,Capability LSM initialized,8
4e8c467f,"Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)",8
3c5e98a7,Version 1.0.6 Starting,8
7c9bb995,"CPU: L1 I cache: 16K, L1 D cache: 16K",8
8480cb7e,CPU: L2 cache: 256K,8
e0661b3c,Intel machine check architecture supported.,8
a31006da,CPU: Intel Pentium III (Coppermine) stepping 06,8
4b75bf96,Enabling fast FPU save and restore... done.,8
48a493b0,Enabling unmasked SIMD FPU exception support... done.,8
19af522a,Checking 'hlt' instruction... OK.,8
694e91c5,POSIX conformance testing by UNIFIX,32
694e91c5,NET: Registered protocol family <*>,32
8c112e82,"PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1",8
ceae4977,PCI: Using configuration type 1,261
97d5ba9f,ACPI: Subsystem revision 20040326,8
d678ffa6,ACPI: Interpreter disabled.,8
53650236,Linux Plug and Play Support v0.97 (c) Adam Belay,8
7e048621,usbcore: registered new driver <*>,8
1d8fe60a,ACPI: ACPI tables contain no PCI IRQ routing entries,8
5de744ee,PCI: Invalid ACPI-PCI IRQ routing table,8
0dfe904f,Initializing random number generator:  succeeded,8
60696e47,PCI: Probing PCI hardware <*> <*>,8
4af88f8f,Transparent bridge - 0000:00:1e.0,48
cd385546,PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0,8
607eef3d,apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac),8
4ed240a7,audit: initializing netlink socket (disabled),8
cf383357,<*> initialized,8
18330ef6,"Total HugeTLB memory allocated, 0",8
f1205e3c,Starting <*> succeeded,32
f1205e3c,VFS: Disk quotas dquot_6.5.1,32
ceae4977,SELinux: <*> netfilter hooks,261
cafc1bbd,Initializing Cryptographic API,8
ea8a8d97,pci_hotplug: PCI Hot Plug PCI Core version: 0.5,8
b54f3664,isapnp: Scanning for PnP cards...,8
917d6f3a,isapnp: No Plug & Play device found,9
917d6f3a,Real Time Clock Driver v1.12,9
4fb9993c,Linux agpgart interface v0.100 (c) Dave Jones,8
2e450820,agpgart: Detected an Intel i810 E Chipset.,8
f028e8c1,agpgart: Maximum main memory to use for agp memory: 93M,8
4b7e6959,agpgart: detected 4MB dedicated video ram.,7
90a1588b,HCI daemon ver 2.4 started,8
98908df9,Setting network parameters:  succeeded,8
ea2ebcf2,agpgart: AGP aperture is 64M @ 0xf4000000,33
4d73c3e7,Bringing up loopback interface:  succeeded,8
694e91c5,"Serial: 8250/16550 driver $Revision: 1.90 $ 8 ports, IRQ sharing enabled",32
ee2ae22f,RAMDISK driver initialized: 16 RAM disks of 16384K size 1024 blocksize,14
2b566107,Uniform Multi-Platform E-IDE driver Revision: 7.00alpha2,8
48462f84,Mounting other filesystems:  succeeded,8
2bf1954b,ide: Assuming 33MHz system bus speed for PIO modes; override with idebus=xx,8
2e3d6c0c,ICH: IDE controller at PCI slot 0000:00:1f.1,8
25be35b6,"Version 3.0.2 (APM BIOS 1.2, Linux driver 1.16ac)",8
e27b23bc,ICH: chipset revision 2,8
a15eff8f,<*> BM-DMA at <*> BIOS settings: <*> <*>,8
ef003ae8,Using cfq io scheduler,8
ceae4977,Home page is http://smartmontools.sourceforge.net/,261
24c24e18,<*> at <*> on irq <*>,8
1a06754d,Opened configuration file /etc/smartd.conf,8
7035af19,Configuration file /etc/smartd.conf parsed.,7
ceae4977,"Device: /dev/hda, opened",261
5a7291ac,Charge: * * * (-1% unknown),8
f518230d,"Device: /dev/hda, found in smartd database.",7
f3957b35,hda: max request size: 128KiB,8
b0ef9ace,"Device: /dev/hda, is SMART capable. Adding to ""monitor"" list.",8
