EventId,EventTemplate
9e14dca7,1 failed to configure resourcemgmt subsystem err = 10
28889bc4,wait (command <*>
8d336518,boot (command <*>
ffd891af,halt (command <*>
5bd7fc86,halt (command 1887)
cedff7b8,wait (command 1883)
60b316b6,boot (command 1883)
af4c12b9,wait (command 1884)
01ef4d2d,boot (command 1884)
045b6b6c,wait (command 1896)
2a272e9c,boot (command 1896)
d76da2a8,halt (command 1895)
eaa4c2da,clusterAddMember (command 1899)
f2bdfb20,clusterAddMember (command 1900)
72ea5853,clusterAddMember (command 1901)
c62b5dea,clusterAddMember (command 1902)
547131c7,risBoot (command 1899)
59443c48,risBoot (command 1900)
c7d0be39,risBoot (command 1901)
49b349d7,risBoot (command 1902)
e3046ef3,bootGenvmunix (command 1899)
32449f97,bootGenvmunix (command 1900)
b85fa607,clusterAddMember (command 1903)
0b9ce230,bootGenvmunix (command 1901)
adcee5cf,bootGenvmunix (command 1902)
c351ff0e,clusterAddMember (command 1904)
e5e34e3d,risBoot (command 1903)
304691ec,clusterAddMember (command 1905)
a1b9db3e,risBoot (command 1904)
57cb4769,bootGenvmunix (command 1903)
d0e2d690,risBoot (command 1905)
7874c63c,bootGenvmunix (command 1904)
05b30ed0,bootGenvmunix (command 1905)
4445e8e0,risBoot (command <*>
76727c51,bootGenvmunix (command <*>
a34b0514,member_delete (command <*>
bcfe6c1b,boot (command 1911)
71228f43,wait (command 1911)
ae1c9a56,boot (command 1910)
536e653f,wait (command 1910)
b6d38bd5,clusterAddMember (command <*>
9862842e,boot (command 1916)
dae2970f,wait (command 1916)
6995b7ff,boot (command 1915)
db2be4de,wait (command 1915)
a06a8106,clusterAddMember (command 1918)
5c5d3877,risBoot (command 1918)
abb676ac,bootGenvmunix (command 1918)
9f48f101,boot (command 1927)
8cf321e5,boot (command 1931)
e285dc87,boot (command 1929)
e3f75504,boot (command 1933)
ed7ce9bb,wait (command 1931)
a3d7e3c2,wait (command 1933)
97366c42,wait (command 1929)
65259285,wait (command 1927)
1ad2ebe5,boot (command 1932)
5209a9d9,boot (command 1928)
8ddba24a,boot (command 1930)
d0502f3f,boot (command 1926)
92fafea5,wait (command 1928)
a720daab,wait (command 1932)
6c45f14a,wait (command 1930)
b14356fe,wait (command 1926)
1c45fe2c,boot (command 1940)
766b46c9,boot (command 1942)
1e774fcc,boot (command 1944)
77c3b418,boot (command 1946)
6fbbd929,wait (command 1940)
6724b271,wait (command 1942)
7b949f73,wait (command 1944)
bb5dbfa3,wait (command 1946)
a60ce4f5,boot (command 1941)
