EventId,EventTemplate
7340af86,AppleThunderboltNHIType2::prePCIWake - power up complete - took 2 us
17952dd2,AppleThunderboltGenericHAL::earlyWake - complete - took 0 milliseconds
005b6de9,AirPort: Link Down on awdl0. Reason 1 (Unspecified).
6362e563,<*> <*> wl0: wl_update_tcpkeep_seq: Original Seq: <*> <*> 1662858865 Win size: 4096
c86dfdd9,Bluetooth -- LE is supported - Disable LE meta event
c481d698,<*> <*> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*> <*> 1662858865 Win size 278
7c229dfe,<*> <*> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
3cf6a714,<*> <*> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable]
28244554,<*> <*> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
22773ff0,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0
409dc4a1,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 12 unplug = 0
5b3c8ec6,AppleCamIn::systemWakeCall - messageType = 0xE0000340
31fcada6,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0
1004b1c5,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = 6
01e7355d,Wake reason: ?
016decae,AppleCamIn::wakeEventHandlerThread
c5de5950,RTC: PowerByCalendarDate setting ignored
9061729d,Previous sleep cause: 5
0951627c,AppleThunderboltNHIType2::prePCIWake - power up complete - took 1 us
627ff77b,AppleThunderboltGenericHAL::earlyWake - complete - took 1 milliseconds
44545874,TBT W (2): 0x0040 [x]
57ec2813,AirPort: Link Down on en0. Reason 8 (Disassociated because station leaving).
22e58d08,en0: channel changed to 1
b7a2d271,en0::IO80211Interface::postMessage bssid changed
43a88d58,en0: 802.11d country code set to 'X3'.
4b8095ea,en0: Supported channels 1 2 3 4 5 6 7 8 9 10 11 12 13 36 40 44 48 52 56 60 64 100 104 108 112 116 120 124 128 132 136 140 144 149 153 157 161
209c69a9,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.
9d31f9de,<*> <*> ARPT: Wake Reason: Wake on Scan offload
79153624,AirPort: Link Up on awdl0
a23397bf,"setting hostname to ""authorMacBook-Pro.local"""
50ac4f5b,USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820 3
460349bf,<*> <*> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable]
e9f3f528,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (0x01)
22f380e7,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x8000000000000000 to 0x4
71be2602,<*>: scheduler_evaluate_activity told me to run this job; however but the start time isn't for <*> seconds. Ignoring.
a695c243,network changed: v4(en0-:<*>) v6(en0:2607:f140:6000:8:c6b3:1ff:fecd:467f) DNS! Proxy SMB
ee97ff49,in6_unlink_ifa: IPv6 address 0x77c911455cd9bcdb has no prefix
c374523c,<*> Could not write data to client <*> because of error - aborting connection
3ee6ebe2,<*> DNSServiceCreateConnection: 0 registered records 1 kDNSServiceFlagsShareConnection operation <*>
3e106e6d,-> DNSServiceGetAddrInfo 0x4000D000 0 v4v6 <*>. <*>
4955a2d0,-[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46! QQ.10018 tc18777 <*>:80
29ad22d3,Saw change in network reachability (isReachable=0)
d72954ad,network changed: v6(en0-:2607:f140:6000:8:c6b3:1ff:fecd:467f) DNS- Proxy-
5657cd9b,Captive: CNPluginHandler en0: Inactive
d8f43a7c,<*> <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.
8feab4c4,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc18777 <*>:80
f63e1b3f,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID
1ca51907,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2
71b8e794,[0701/090056:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.
5915fdf3,PM response took <*> ms (54 powerd)
879d0b42,Setting BTCoex Config: enable_2G:1 profile_2g:0 enable_5G:1 profile_5G:0
0af63e74,<*> : BTLE scanner Powered On
2157fe7b,network_reachability_changed : network is not reachable netbiosd is shutting down
549275d6,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) when=2017-07-01 <*> +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319)
74ebb92c,in6_unlink_ifa: IPv6 address 0x77c911455cd9be2b has no prefix
050de4e6,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED
d206520f,IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL enterQuietMode(true)
e3370825,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000
c4cbf92c,<*> <*> wlc_dump_aggfifo:
a07fcc33,<*> <*> framerdy 0x0 bmccmd 3 framecnt 1024
9e10a1bc,<*> <*> AQM agg params 0xfc0 maxlen hi/lo 0x0 0xffff minlen 0x0 adjlen 0x0
2a726292,<*> <*> AQM agg results 0x8001 len hi/lo: 0x0 0x67 BAbitmap(0-3) 0 0 0 0
3f143fab,Received Capture Event
4a019d20,CCFile::captureLog
41248525,CCFile::captureLog Received Capture notice id: 1498924856.421273 reason = AssocFail:sts:5_rsn:0
e83bdd94,CCFile::copyFile fileName is <*> <*> <*> <*> <*>
ea92f231,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions
2fe4ad5c,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7
f1885a0f,CCFile::captureLogRun Skipping current file Dir file <*> Current File <*>
2d0d617f,CCFile::captureLogRun() Exiting CCFile::captureLogRun
87a9c1de,doSaveChannels@286: Will write to: <*> - AssocFail:sts:5_rsn:0.xml
5d3b8c8e,AppleCamIn::handleWakeEvent_gated
5ab3dcf5,AirPort: Link Up on en0
de57cc71,en0: BSSID changed to 5c:50:15:36:bc:03
9145d1dd,en0: channel changed to 6
c6b40f22,Captive: [CNInfoNetworkActive:1748] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive)
1efe32ce,network changed: DNS* Proxy
60cca9be,Captive: en0: Not probing 'CalVisitor' (cache indicates not captive)
662270aa,network changed: v4(en0!:<*>) DNS+ Proxy+ SMB
977e36ef,"setting hostname to ""<*>"""
42faa9bd,en0: 802.11d country code set to 'US'.
bbfca46f,en0: Supported channels 1 2 3 4 5 6 7 8 9 10 11 12 13 36 40 44 48 52 56 60 64 100 104 108 112 116 120 124 128 132 136 140 144 149 153 157 161 165
e67f893b,Unexpected payload found for message 9 dataLen 0
c347e820,network changed: v4(en0:<*>) v6(en0+:2607:f140:6000:8:c6b3:1ff:fecd:467f) DNS! Proxy SMB
efebfabb,Saw change in network reachability (isReachable=2)
9f75f22f,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO
92121a91,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL
