Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,8.41,51,11,0.031,0.000,0.161,0.000,0.000,0.000
Linux,13.21,249,338,0.131,0.041,0.249,0.064,0.047,0.055
Apache,20.99,162,29,0.298,0.055,0.230,0.068,0.379,0.115
Zookeeper,30.48,287,89,0.749,0.733,0.383,0.136,0.438,0.207
Hadoop,720.24,15010,236,0.188,0.088,0.020,0.004,0.275,0.009
HealthApp,1313.49,67054,156,0.225,0.156,0.003,0.001,0.256,0.001
OpenStack,268.51,74,48,0.534,0.020,0.754,0.027,0.042,0.033
HPC,3116.46,5872,74,0.644,0.643,0.013,0.005,0.405,0.010
Mac,87.27,11122,626,0.364,0.128,0.057,0.010,0.179,0.019
OpenSSH,8448.87,258,38,0.219,0.180,0.155,0.050,0.342,0.088
