EventId,EventTemplate,Occurrences
3389dae3,*,82
6e644e70,* * *,724
4124b970,"klogd 1.4.1, log source = /proc/kmsg started.",9
fe3c862d,Initializing CPU#0,1
0af48ab8,uhci_hcd 0000:00:1f.2: UHCI Host Controller,1
a99e56dc,Charge: * * * (-1% unknown),7
648f0d75,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 <*> EDT 2004,8
8c537990,BIOS-provided physical RAM map:,8
7e7cba5c,BIOS-e820: 0000000000000000 - 00000000000a0000 (usable),8
2ec79755,Kernel command line: ro root=LABEL=/ rhgb quiet,7
4845b66c,mapped 4G/4G trampoline to ffff3000.,1
f2777573,Detected 731.214 MHz processor.,1
3c5b4adb,ACPI disabled because your bios is from 2000 and too old,8
c32da529,PID hash table entries: 512 (order 9: 4096 bytes),8
48a493b0,Capability LSM initialized,1
42e1da55,zapping low mappings.,1
a9678e83,On node 0 totalpages: 32430,8
0ec1a17a,"DMA zone: 4096 pages, LIFO batch:1",8
454971b1,BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved),8
06555597,BIOS-e820: 0000000000100000 - 0000000007eae000 (usable),8
e5a1c142,BIOS-e820: * - * (reserved),16
e0661b3c,"There is already a security framework initialized, register_security failed.",8
1d8fe60a,Enabling fast FPU save and restore... done.,1
cd385546,"PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1",1
1559494b,"Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)",1
f3957b35,"Serial: 8250/16550 driver $Revision: 1.90 $ 8 ports, IRQ sharing enabled",1
612822b6,"uhci_hcd 0000:00:1f.2: irq 11, io base 0000ff80",1
9fbe6496,"Version 3.0.2 (APM BIOS 1.2, Linux driver 1.16ac)",1
3af6f1b1,Monitoring 1 ATA and 0 SCSI devices,1
db114577,"serio: i8042 * port at 0x60,0x64 irq *",2
7e048621,CPU: Intel Pentium III (Coppermine) stepping 06,8
2e3d6c0c,isapnp: No Plug & Play device found,8
b0ef9ace,RAMDISK driver initialized: 16 RAM disks of 16384K size 1024 blocksize,8
38ec3ede,* hash table entries: * (order: * * bytes),16
f296cad2,"Dquot-cache hash table entries: 1024 (order 0, 4096 bytes)",8
90cad8da,ICH: IDE controller at PCI slot 0000:00:1f.1,8
8c112e82,Version 1.0.6 Starting,1
082b06ae,Bluetooth: L2CAP ver 2.1,8
fa8cbf39,Bluetooth: RFCOMM ver 1.2,8
29249ae3,You can enable it with acpi=force,8
85959353,Using tsc for high-res timesource,8
a5b547df,Console: colour VGA+ 80x25,8
3c5e98a7,Security Scaffold v1.0.0 initialized,8
97d5ba9f,"CPU: L1 I cache: 16K, L1 D cache: 16K",8
d5c51d81,NET: Registered protocol family *,48
9223a2bb,"Normal zone: 28334 pages, LIFO batch:6",8
20fb0ff0,"HighMem zone: 0 pages, LIFO batch:1",8
60696e47,POSIX conformance testing by UNIFIX,8
6b643c98,126MB LOWMEM available.,1
90cdab58,DMI 2.3 present.,1
de6cd9cf,Built 1 zonelists,1
48462f84,pci_hotplug: PCI Hot Plug PCI Core version: 0.5,1
ef003ae8,agpgart: Maximum main memory to use for agp memory: 93M,8
b79529df,ide: Assuming 33MHz system bus speed for PIO modes; override with idebus=xx,1
658ef1ca,smartd has fork()ed into background mode. New *,8
bc5b27be,input: AT Translated Set 2 keyboard on isa0060/serio0,8
f086245a,microcode: CPU0 already at revision 0x8 (current=0x8),1
f816645a,"IP: routing cache hash table of 512 buckets, 4Kbytes",8
2baa413e,RAMDISK: Compressed image found at block 0,8
715babaf,EXT3 FS on * internal journal,16
94079a98,"Device: /dev/hda, is SMART capable. Adding to ""monitor"" list.",8
6427c534,ip_tables: (C) 2000-2002 Netfilter core team,17
3f023526,xinetd Version 2.3.13 started with libwrap loadavg options compiled in.,8
6d72c752,1 more authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=bozesan.teleson.ro user=test,2
a23ecf9f,1 more authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*> user=test,3
