EventId,EventTemplate,Occurrences
6f97e9d4,restart.,42
ceae4977,<*> <*> succeeded,398
cad6f3da,<*> <*> <*> <*> <*> started.,17
648f0d75,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 <*> EDT 2004,8
76ccb8a8,BIOS-provided physical RAM map,8
84ba4c54,BIOS-e820 <*> - <*> (usable),16
a584284c,BIOS-e820 <*> - <*> (reserved),24
6b643c98,126MB LOWMEM available.,8
42e1da55,zapping low mappings.,8
66948a9a,On node 0 totalpages 32430,8
d0e91d8d,<*> zone <*> pages LIFO batch <*>,24
90cdab58,DMI 2.3 present.,8
3c5b4adb,ACPI disabled because your bios is from 2000 and too old,8
72fd00aa,You can enable it with acpi force,8
de6cd9cf,Built 1 zonelists,8
05b1a166,Kernel command line ro root LABEL / rhgb quiet,7
4845b66c,mapped 4G/4G trampoline to ffff3000.,8
fe3c862d,Initializing CPU#0,8
16969e10,CPU 0 irqstacks hard 02345000 soft 02344000,8
d4e38b1d,<*> hash table entries <*> (order <*> <*> bytes),32
481e7ae7,Detected <*> MHz processor.,8
85959353,Using tsc for high-res timesource,8
dbf8bcdc,Console colour VGA+ 80x25,8
96355bd5,Memory 125312k/129720k available (1540k kernel code 3860k reserved 599k data 144k init 0k highmem),8
4e8c467f,Calibrating delay loop... <*> BogoMIPS,8
3c5e98a7,Security Scaffold v1.0.0 initialized,8
323f2132,SELinux Initializing.,8
e49d63ed,SELinux Starting in permissive mode,8
1ef1d852,There is already a security framework initialized register_security failed.,8
a31006da,Failure registering capabilities with the kernel,8
e0a336e2,selinux_register_security Registering secondary module capability,8
48a493b0,Capability LSM initialized,8
6ac963ff,Dentry cache hash table entries 16384 (order 4 65536 bytes),8
8c112e82,Version 1.0.6 Starting,8
cdd93522,CPU L1 I cache 16K L1 D cache 16K,8
3f2b5838,CPU L2 cache 256K,8
53650236,Intel machine check architecture supported.,8
d549e48a,CPU Intel Pentium III (Coppermine) stepping 06,8
1d8fe60a,Enabling fast FPU save and restore... done.,8
5de744ee,Enabling unmasked SIMD FPU exception support... done.,8
0dfe904f,Checking 'hlt' instruction... OK.,8
60696e47,POSIX conformance testing by UNIFIX,8
83e8b106,NET Registered protocol family <*>,48
88d7785c,PCI PCI BIOS revision 2.10 entry at 0xfc0ce last bus 1,8
8445627b,PCI Using configuration type 1,8
2c9d1572,ACPI Subsystem revision 20040326,8
2b42641e,ACPI Interpreter disabled.,8
18330ef6,Linux Plug and Play Support v0.97 (c) Adam Belay,8
3d1ebcbf,usbcore registered new driver <*>,32
7bd5e8f6,ACPI ACPI tables contain no PCI IRQ routing entries,8
242c3e80,PCI Invalid ACPI-PCI IRQ routing table,8
a7d32883,Initializing random number generator succeeded,8
67248222,PCI Probing PCI hardware,16
96212a59,Transparent bridge - 0000 00 1e.0,8
09112bb7,PCI Using IRQ router PIIX/ICH [8086/2410] at 0000 00 1f.0,8
4aeed02e,apm BIOS version 1.2 Flags 0x03 (Driver version 1.16ac),8
a456534e,audit initializing netlink socket (disabled),7
72e88bdc,<*> 0) initialized,8
cab2fc96,Total HugeTLB memory allocated 0,8
ea2ebcf2,Starting <*> succeeded,33
043e3b67,VFS Disk quotas dquot_6.5.1,8
e703d914,SELinux <*> netfilter hooks,15
2b566107,Initializing Cryptographic API,8
184555a7,pci_hotplug PCI Hot Plug PCI Core version 0.5,8
98b2a732,isapnp Scanning for PnP cards...,8
382140b4,isapnp No Plug & Play device found,8
25be35b6,Real Time Clock Driver v1.12,8
e27b23bc,Linux agpgart interface v0.100 (c) Dave Jones,8
7f4daf68,agpgart Detected an Intel i810 E Chipset.,8
f93d48cc,agpgart Maximum main memory to use for agp memory 93M,8
03e83361,agpgart detected 4MB dedicated video ram.,8
1a06754d,HCI daemon ver 2.4 started,8
6f79404c,Setting network parameters succeeded,7
6a75625d,agpgart AGP aperture is 64M @ 0xf4000000,8
c89cd27f,Bringing up loopback interface succeeded,7
30b37096,Serial 8250/16550 driver $Revision 1.90 $ 8 ports IRQ sharing enabled,8
