Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.60,8,11,0.521,0.503,0.737,0.500,0.364,0.421
Linux,1.22,358,338,0.374,0.077,0.773,0.304,0.322,0.313
Apache,0.92,29,29,1.000,0.094,1.000,0.379,0.379,0.379
Zookeeper,1.74,75,89,0.985,0.814,0.829,0.707,0.596,0.646
Hadoop,4.50,312,236,0.589,0.247,0.664,0.237,0.314,0.270
HealthApp,4.03,159,156,0.940,0.476,0.838,0.409,0.417,0.413
OpenStack,8.88,47,48,0.980,0.019,0.968,0.106,0.104,0.105
HPC,7.70,79,74,0.741,0.720,0.745,0.570,0.608,0.588
Mac,4.88,712,626,0.816,0.383,0.798,0.355,0.404,0.378
OpenSSH,18.91,39,38,0.609,0.093,0.753,0.282,0.289,0.286
Spark,414.78,393,236,0.974,0.414,0.633,0.214,0.356,0.267
Thunderbird,482.88,8457,1241,0.577,0.183,0.161,0.038,0.262,0.067
BGL,122.05,446,320,0.892,0.462,0.580,0.365,0.509,0.426
HDFS,320.28,41,46,1.000,0.444,0.851,0.463,0.413,0.437
