Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,5.67,24,8,0.013,0.000,0.062,0.000,0.000,0.000
Linux,9.97,112,118,0.221,0.028,0.852,0.107,0.102,0.104
Apache,1.79,6,6,1.000,0.000,1.000,0.000,0.000,0.000
Zookeeper,5.08,47,50,0.819,0.451,0.742,0.234,0.220,0.227
Hadoop,17.46,169,114,0.852,0.080,0.572,0.071,0.105,0.085
HealthApp,12.76,82,75,0.440,0.027,0.713,0.183,0.200,0.191
OpenStack,63.78,522,43,0.213,0.000,0.057,0.000,0.000,0.000
HPC,10.26,52,46,0.824,0.632,0.592,0.365,0.413,0.388
Mac,72.44,615,341,0.620,0.037,0.527,0.029,0.053,0.038
OpenSSH,5.12,25,26,0.541,0.000,0.706,0.000,0.000,0.000
Spark,138.50,783,36,0.571,0.003,0.063,0.006,0.139,0.012
Thunderbird,27.35,182,149,0.663,0.018,0.743,0.132,0.161,0.145
BGL,15.23,138,120,0.957,0.080,0.798,0.087,0.100,0.093
HDFS,3.14,16,14,0.998,0.000,0.867,0.000,0.000,0.000
