EventID,EventTemplate
P0,Using callQueue class java.util.concurrent.LinkedBlockingQueue
P1,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from FAIL_CONTAINER_CLEANUP to FAIL_TASK_CLEANUP
P2,Opening proxy : MSRA-SA-<*>.fareast.corp.microsoft.com:<*>
P3,All maps assigned. Ramping up all remaining reduces:<*>
P4,Before Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>
P5,Resolved MSRA-SA-<*>.fareast.corp.microsoft.com to /default-rack
P6,TaskAttempt: [attempt_<*>_<*>_m_<*>_<*>] using containerId: [container_<*>_<*>_<*>_<*> on NM: [MININT-FNANLI<*>.fareast.corp.microsoft.com:<*>]
P7,Extract jar:file:/D:/hadoop-<*>.<*>.<*>-localbox/share/hadoop/yarn/hadoop-yarn-common-<*>.<*>.<*>-SNAPSHOT.jar!/webapps/mapreduce to C:\\Users\\msrabi\\AppData\\Local\\Temp\\Jetty_<*>_<*>_<*>_<*>_<*>_mapreduce____.<*>\\webapp
P8,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED
P9,Opening proxy : MININT-FNANLI<*>.fareast.corp.microsoft.com:<*>
P10,"MRAppMaster launching normal, non-uberized, multi-container job job_<*>_<*>."
P11,Added attempt_<*>_<*>_m_<*>_<*> to list of failed maps
P12,Added global filter 'safety' (class=org.apache.hadoop.http.<*>$QuotingInputFilter)
P13,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from RUNNING to FAIL_CONTAINER_CLEANUP
P14,IPC Server Responder: starting
P15,Scheduled snapshot period at <*> second(s).
P16,DFSOutputStream ResponseProcessor exception for block BP-<*>-<*>.<*>.<*>.<*>-<*>:blk_<*>_<*>
P17,We launched <*> speculations. Sleeping <*> milliseconds.
P18,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from SUCCESS_CONTAINER_CLEANUP to SUCCEEDED
P19,Reduce slow start threshold reached. Scheduling reduces.
P20,TaskAttempt: [attempt_<*>_<*>_m_<*>_<*>] using containerId: [container_<*>_<*>_<*>_<*> on NM: [MSRA-SA-<*>.fareast.corp.microsoft.com:<*>]
P21,Assigned container container_<*>_<*>_<*>_<*> to attempt_<*>_<*>_m_<*>_<*>
P22,Adding job token for job_<*>_<*> to jobTokenSecretManager
P23,Input size for job job_<*>_<*> = <*>. Number of splits = <*>
P24,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
P25,Started <*>$SelectChannelConnectorWithSafeStartup@<*>.<*>.<*>.<*>:<*>
P26,Adding #<*> tokens and #<*> secret keys for NM use for launching container
P27,MRAppMaster metrics system started
P28,task_<*>_<*>_<*>_<*> Task Transitioned from NEW to SCHEDULED
P29,"Thread Thread[eventHandlingThread,<*>,main] threw an Exception."
P30,<*> attempt_<*>_<*>_m_<*>_<*> _/|\\_ <*> attempt attempt_<*>_<*>_m_<*>_<*>
P31,IPC Server listener on <*>: starting
P32,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: -<*>)"
P33,"Event Writer setup for JobId: job_<*>_<*>, File: hdfs://msra-sa-<*>:<*>/tmp/hadoop-yarn/staging/msrabi/.staging/job_<*>_<*>/job_<*>_<*>_<*>.jhist"
P34,job_<*>_<*> Transitioned from NEW to INITED
P35,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from ASSIGNED to RUNNING
P36,<*> DN<*>IQ.fareast.corp.microsoft.com<*> _/|\\_ <*> DN<*>IQ.fareast.corp.microsoft.com <*> 
P37,Web app /mapreduce started at <*>
P38,JVM with ID: jvm_<*>_<*>_m_<*> given task: attempt_<*>_<*>_m_<*>_<*>
P39,adding path spec: /<*>/*
P40,The job-<*> file on the remote FS is <*>//<*>-<*>-<*>/tmp/hadoop-yarn/staging/msrabi/.staging/job_<*>_<*>/job.<*> _/|\\_ The job-<*> file on the remote FS is /tmp/hadoop-yarn/staging/msrabi/.staging/job_<*>_<*>/job.<*>
P41,JOB_CREATE job_<*>_<*>
P42,OutputCommitter set in config null
P43,Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_<*>_<*>_<*>_<*> taskAttempt attempt_<*>_<*>_m_<*>_<*>
P44,Not uberizing job_<*>_<*> because: not enabled; too many maps; too much input;
P45,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>
P46,Created MRAppMaster for application appattempt_<*>_<*>_<*>
P47,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>
P48,DefaultSpeculator.addSpeculativeAttempt -- we are speculating task_<*>_<*>_m_<*>
P49,"Slow ReadProcessor read fields took <*> (threshold=<*>); ack: seqno: -<*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*>, targets: [<*>.<*>.<*>.<*>:<*>, <*>.<*>.<*>.<*>:<*>]"
P50,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce
P51,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from FAIL_TASK_CLEANUP to FAILED
P52,Registered webapp guice modules
P53,Registering class org.apache.hadoop.mapreduce.<*>.<*> for class org.apache.hadoop.mapreduce.<*>.<*> _/|\\_ Registering class org.apache.hadoop.mapreduce.<*>.<*>.<*>.<*> for class org.apache.hadoop.mapreduce.<*>.<*>.<*>.<*>
P54,Task: attempt_<*>_<*>_m_<*>_<*> - exited : java.net.NoRouteToHostException: No Route to Host from MININT-FNANLI<*>/<*>.<*>.<*>.<*> to msra-sa-<*>:<*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost
P55,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static
P56,TaskAttempt: [attempt_<*>_<*>_m_<*>_<*>] using containerId: [container_<*>_<*>_<*>_<*> on NM: [<*>DN<*>IQ.fareast.corp.microsoft.com:<*>]
P57,"Recalculating schedule, headroom=<memory:<*>, vCores:-<*>>"
P58,job_<*>_<*> Transitioned from INITED to SETUP
P59,Executing with tokens:
P60,job_<*>_<*> Transitioned from SETUP to RUNNING
P61,"Error Recovery for block BP-<*>-<*>.<*>.<*>.<*>-<*>:blk_<*>_<*> in pipeline <*>.<*>.<*>.<*>:<*>, <*>.<*>.<*>.<*>:<*>: bad datanode <*>.<*>.<*>.<*>:<*>"
P62,Connecting to ResourceManager at msra-sa-<*>/<*>.<*>.<*>.<*>:<*>
P63,Logging to org.<*>.impl.<*>(org.mortbay.log) via org.mortbay.log.<*>
P64,Registering class org.apache.hadoop.mapreduce.<*>.app.<*>.<*>.<*>$<*> for class org.apache.hadoop.mapreduce.<*>.app.MRAppMaster$<*> _/|\\_ Registering class org.apache.hadoop.mapreduce.<*>.app.<*>.<*>.<*> for class org.apache.hadoop.mapreduce.<*>.app.MRAppMaster$<*> _/|\\_ Registering class org.apache.hadoop.mapreduce.<*>.app.<*>.<*>$<*> for class org.apache.hadoop.mapreduce.<*>.app.MRAppMaster$<*>
P65,Shuffle port returned by ContainerManager for attempt_<*>_<*>_m_<*>_<*> : <*>
P66,ERROR IN CONTACTING RM.
P67,Adding protocol org.apache.hadoop.mapreduce.<*>.api.MRClientProtocolPB to the server
P68,task_<*>_<*>_m_<*> Task Transitioned from RUNNING to SUCCEEDED
P69,Http request log for http.requests.mapreduce is not defined
P70,Diagnostics report from attempt_<*>_<*>_m_<*>_<*>: Container killed by the ApplicationMaster.
P71,"Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)"
P72,Instantiated MRClientService at MININT-FNANLI<*>.fareast.corp.microsoft.com/<*>.<*>.<*>.<*>:<*>
P73,queue: default
P74,"getResources() for application_<*>_<*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:-<*>> knownNMs=<*>"
P75,Processing the event EventType: JOB_SETUP
P76,Container complete event for unknown container id container_<*>_<*>_<*>_<*>
P77,attempt_<*>_<*>_<*>_<*>_<*> TaskAttempt Transitioned from NEW to UNASSIGNED
P78,Upper limit on the thread pool size is <*>
P79,blacklistDisablePercent is <*>
P80,ATTEMPT_START task_<*>_<*>_m_<*>
P81,Number of reduces for job job_<*>_<*> = <*>
P82,Address change detected. Old: msra-sa-<*>/<*>.<*>.<*>.<*>:<*> New: msra-sa-<*>:<*>
P83,DataStreamer Exception
P84,Starting Socket Reader #<*> for port <*>
P85,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...
P86,Done acknowledgement from attempt_<*>_<*>_m_<*>_<*>
P87,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter
P88,KILLING attempt_<*>_<*>_m_<*>_<*>
P89,Scheduling a redundant attempt for task task_<*>_<*>_m_<*>
P90,<*> failures on node MININT-FNANLI<*>.fareast.corp.microsoft.com
P91,maxTaskFailuresPerNode is <*>
P92,loaded properties from hadoop-<*>.properties
P93,Num completed Tasks: <*>
P94,Using mapred newApiCommitter.
P95,Received completed container container_<*>_<*>_<*>_<*>
P96,Putting shuffle token in serviceData
P97,Emitting job history data to the timeline server is not enabled
P98,Auth successful for job_<*>_<*> (auth:SIMPLE)
P99,JVM with ID : jvm_<*>_<*>_m_<*> asked for a task
P100,Processing the event EventType: CONTAINER_REMOTE_CLEANUP for container container_<*>_<*>_<*>_<*> taskAttempt attempt_<*>_<*>_m_<*>_<*>
P101,Got allocated containers <*>
