,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.58,1.02,1.1,1.81,5.08,4.15,9.0,8.17,5.67,18.99,386.16,461.84,109.19,282.59,92.525
identified_templates,8.0,399.0,35.0,82.0,327.0,159.0,48.0,81.0,712.0,1600.0,393.0,8531.0,461.0,41.0,919.786
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.521,0.203,0.993,0.986,0.589,0.94,1.0,0.746,0.816,0.306,0.974,0.59,0.883,1.0,0.753
PA,0.503,0.062,0.094,0.816,0.247,0.476,0.019,0.725,0.383,0.093,0.414,0.196,0.461,0.444,0.352
FGA,0.737,0.782,0.844,0.865,0.65,0.838,1.0,0.787,0.798,0.027,0.633,0.172,0.604,0.851,0.685
PTA,0.5,0.328,0.314,0.72,0.223,0.409,0.104,0.605,0.355,0.007,0.214,0.041,0.38,0.463,0.333
RTA,0.364,0.388,0.379,0.663,0.309,0.417,0.104,0.662,0.404,0.289,0.356,0.28,0.547,0.413,0.398
FTA,0.421,0.355,0.344,0.69,0.259,0.413,0.104,0.632,0.378,0.013,0.267,0.071,0.448,0.437,0.345
