EventID,EventTemplate
P0,Command has been aborted
P1,risBoot (command <*>) Error: Timed out while waiting for SRM prompt: <ABORT code completed>
P2,starting
P3,warning
P4,power/control problem
P5,blocked
P6,ServerFileSystem: An ServerFileSystem domain panic has occurred on <*>
P7,not responding
P8,Fan speeds ( <*> **** <*> )
P9,ClusterFileSystem: ServerFileSystem domain <*>domain<*> is no longer served by node node-<*> _/|\\_ ClusterFileSystem: ServerFileSystem domain <*>domain is no longer served by node node-<*> _/|\\_ ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
P10,Targeting domains:node-<*> and nodes:node-<*> _/|\\_ Targeting domains:node-<*> and nodes:node-<*> 
P11,Link ok
P12,active
P13,NIFF: node node-<*> detected a failed network connection on network <*>.<*>.<*>.<*> via interface alt0
P14,running
P15,wait (command <*>)
P16,Targeting domains:node-<*> and nodes:node-[<*>-<*>] child of command <*>
P17,NIFF: node node-<*> has detected an available network connection on network <*>.<*>.<*>.<*> via interface scip0
P18,configured out
P19,inconsistent nodesets node-<*> <ok> node-<*> <ok> node-<*> <ok> node-<*> <ok> node-<*> <ok> node-<*> <ok> node-<*> <ok> node-<*> <ok> node-<*> <ok> node-<*> <ok> node-<*> <ok> node-<*> <ok> node-<*> <ok> _/|\\_ inconsistent nodesets node-<*> <ok> node-<*> <ok> node-<*> <ok> node-<*> <ok> _/|\\_ inconsistent nodesets node-<*> <ok> node-<*> <ok> node-<*> <ok> node-<*> <ok> node-<*> <ok>
P20,Fan speeds ( <*> )
P21,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>
P22,NIFF: node node-<*> has detected an available network connection on network <*>.<*>.<*>.<*> via interface ee0
P23,ambient<*>
P24,Failed subcommands <*>
P25,normal
P26,halt (command <*>)
P27,risBoot (command <*>)
P28,Temperature (<*>) exceeds warning threshold
P29,Linkerror event interval expired
P30,Link in reset
P31,Component State Change: Component \\<*>-WWID:<*>:<*>-<*>-<*>-<*>-<*>-<*>-<*>-<*>\\<*> is in the unavailable state (HWID<*>)
P32,NIFF: node node-<*> has detected an available network connection on network <*>.<*>.<*>.<*> via interface alt0
P33,closing
P34,link errors remain current
P35,bootGenvmunix (command <*>)
P36,Component State Change: Component \\<*>alt0\\<*> is in the unavailable state (HWID<*>)
P37,psu failure\\ ambient<*>
P38,critical
P39,ServerFileSystem: ServerFileSystem domain <*>_<*> is full
P40,ClusterFileSystem: There is no server for ServerFileSystem domain <*>
P41,Command has completed successfully
P42,boot (command <*>) Error: HALT asserted\\ cannot continue
P43,boot (command <*>)
P44,clusterAddMember (command <*>)
P45,Link error
P46,
P47,not-responding
