Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.58,8,11,0.521,0.503,0.737,0.500,0.364,0.421
Linux,1.02,399,338,0.203,0.062,0.782,0.328,0.388,0.355
Apache,1.10,35,29,0.993,0.094,0.844,0.314,0.379,0.344
Zookeeper,1.81,82,89,0.986,0.816,0.865,0.720,0.663,0.690
Hadoop,5.08,327,236,0.589,0.247,0.650,0.223,0.309,0.259
HealthApp,4.15,159,156,0.940,0.476,0.838,0.409,0.417,0.413
OpenStack,9.00,48,48,1.000,0.019,1.000,0.104,0.104,0.104
HPC,8.17,81,74,0.746,0.725,0.787,0.605,0.662,0.632
Mac,5.67,712,626,0.816,0.383,0.798,0.355,0.404,0.378
OpenSSH,18.99,1600,38,0.306,0.093,0.027,0.007,0.289,0.013
Spark,386.16,393,236,0.974,0.414,0.633,0.214,0.356,0.267
Thunderbird,461.84,8531,1241,0.590,0.196,0.172,0.041,0.280,0.071
BGL,109.19,461,320,0.883,0.461,0.604,0.380,0.547,0.448
HDFS,282.59,41,46,1.000,0.444,0.851,0.463,0.413,0.437
