EventID,EventTemplate
P0,Receiving block <*> src: /<*> dest: /<*>
P1,Deleting block <*> file /mnt/hadoop/dfs/data/current/<*> _/|\\_ Deleting block <*> file /mnt/hadoop/dfs/data/current/<*>/<*>
P2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
P3,Verification succeeded for <*>
P4,<*>:Got exception while serving <*> to /<*>:
P5,Received block <*> src: /<*> dest: /<*> of size <*>
P6,PacketResponder <*> for block <*> terminating
P7,BLOCK* NameSystem.allocateBlock: /user/root/<*>/_temporary/_task_<*>_<*>_<*>_<*>_<*>/part-<*>. <*>
P8,Received block <*> of size <*> from /<*>
P9,<*> Served block <*> to /<*>
P10,BLOCK* ask <*> to delete <*> _/|\\_ BLOCK* ask <*> to delete <*> 
P11,BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>
P12,BLOCK* ask <*> to replicate <*> to datanode(s) <*>
P13,<*> Starting thread to transfer block <*> to <*>
