EventID,EventTemplate
P0,[client <*>] File does not exist: /var/www/html/<*> _/|\\_ [client <*>] File does not exist: /var/www/html/<*>/<*> _/|\\_ [client <*>] File does not exist: /var/www/html/html
P1,"[client <*>] mod_security: Access denied with code <*>. Error reading POST data, error_code=<*> [hostname ""<*>""] [uri ""/xmlrpc.php""]"
P2,"env.<*>(): Factory error creating <*>: ( <*>, ) _/|\\_ env.<*>(): Factory error creating <*>.<*>:<*> ( <*>.<*>, <*>)"
P3,[client <*>] Attempt to serve directory: /var/www/html/
P4,mod_security/<*>.<*> configured
P5,<*>_init() Found child <*> in scoreboard slot <*>
P6,Digest: done
P7,config.update(): Can't create channel.jni:jni
P8,[client <*>] request failed: URI too long (longer than <*>)
P9,[client <*>] request failed: error reading the headers
P10,LDAP: Built with OpenLDAP LDAP SDK
P11,"Graceful restart requested, doing restart"
P12,suEXEC mechanism enabled (wrapper: /usr/sbin/suexec)
P13,<*>_init() Can't find child <*> in scoreboard
P14,mod_jk child workerEnv in error state <*>
P15,[client <*>] client sent HTTP/<*>.<*> request without hostname (see <*> section <*>.<*>): /
P16,mod_python: Creating <*> session mutexes based on <*> max processes and <*> max threads.
P17,"child process <*> still did not exit, sending a SIGTERM"
P18,[client <*>] script not found or unable to stat: /var/www/cgi-bin/<*>cgi _/|\\_ [client <*>] script not found or unable to stat: /var/www/cgi-bin/<*>
P19,Apache/<*>.<*>.<*> (Fedora) configured -- resuming normal operations
P20,config.update(): Can't create worker.jni:onShutdown
P21,mod_jk child init <*> 
P22,[client <*>] Directory index forbidden by rule: /var/www/html/
P23,mod_<*> Shutting down
P24,workerEnv.init() ok /etc/httpd/conf/<*>.properties
P25,config.update(): Can't create vm:
P26,[client <*>] attempt to invoke directory as script: /var/www/cgi-bin/
P27,[client <*>] Invalid URI in request GET HTTP/<*>.<*>
P28,Digest: generating secret for digest authentication ...
P29,LDAP: SSL support unavailable
P30,uriMap.mapUri() uri must start with /
P31,config.update(): Can't create worker.jni:onStartup
