EventID,EventTemplate
P0,processHandleBroadcastAction action:com.huawei.health.WIDGET_DISABLE
P1,setGoalNotifiShownRecord <*> 
P2,"aggregateHiHealthData() time = <*>, totalTime = <*>"
P3,startStepCounterInter stand
P4,"timeStamp back,extendReportTimeStamp=<*>"
P5,userInfo changed detail
P6,<*>getWriteDBLastDataMinute<*> _/|\\_ getWriteDBLastDataMinute
P7,target init: <*>
P8,sendSyncFailedBroadcast
P9,needAutoSync autoSyncSwitch is open
P10,flushTempCacheToDB by stand
P11,MyGetDetailDataCallback onResult bundle == null
P12,getTodayNoSyncTotalValue datas is null or empty
P13,getCfgFile enter...
P14,initUserPrivacy the userPrivacy is true
P15,checkLocalDataValue false
P16,getStringHuid() who is com.huawei.health
P17,rebuild notification
P18,isScreenOn true
P19,processHandleBroadcastAction action:android.intent.action.TIME_TICK
P20,getDeviceShutDownBoolean shutDown=false
P21,initStepCounter : deviceType <*>
P22,setActionRestartSensorAlarm=<*>
P23,isScreenOn false
P24, getDiffTotalSteps= <*>##<*>
P25,getTodaySportData mStepsRecordManager=com.huawei.health.g.c@<*>
P26,"screen status unknown,think screen on"
P27,"checkFirstSyncByType no such data in db ,type is <*> deviceCode is <*>"
P28,onCreate()
P29,getMidWareCache mRemote=com.huawei.health.c.c@<*>
P30, getLastSyncDBTime= -<*>
P31, getServiceRestartRecord= <*>
P32, getTodayBasicStandardSteps= <*>##<*>##<*>
P33,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
P34,clear()
P35,getStepCounterStatus _/|\\_ <*>getStepCounterStatus<*>
P36,processHandleBroadcastAction action:android.intent.action.SCREEN_ON
P37,"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = <*>,errorMessage = ERR_DATA_INSERT"
P38,createHealthNotification()
P39,getDiffTotalCalories _/|\\_ <*>getDiffTotalCalories<*>
P40,getStepsTarget _/|\\_ <*>getStepsTarget<*>
P41,"getMidWareStepCountService: pkgName = com.huawei.systemserver, service = com.huawei.systemserver.ihealth.connectivity.HwStepCounterService"
P42,switchTrackMonitor false
P43,registerLogCallback com.huawei.health.c.c@<*>
P44,initDataManager enter...
P45,"saveHealthDetailData() deviceID = <*>,clientID=<*>,id=<*>"
P46,uploadStaticsToDB failed message=true
P47,<*>() checkAppType <*> appID = <*> id = <*> time= <*> _/|\\_ <*>() checkAppType <*> appID = <*> id = <*> time = <*>
P48,registerLogCallback com.huawei.health.c.c@<*> cb:com.huawei.health.b.a.g@<*>
P49,upDateHealthNotification()|<*>|<*>.<*>|<*>
P50,context=com.huawei.health.manager.DaemonService@<*>
P51,FAILED_SCREEN_OFF block report
P52,"startInsertSportSync start auto sync,app is <*>"
P53,fetchPhoneDataClient
P54, getDiffTotalAltitude= <*>##<*>.<*>
P55,calculateAltitudeWithCache totalAltitude=<*>
P56, getIntercepterDistance from Prefence success and intercepterDistanceStr= <*>##<*>.<*>
P57,"initBinder() app = <*>, packageName = com.huawei.health"
