Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.15,8,8,1.000,0.000,1.000,0.000,0.000,0.000
Linux,0.19,105,118,0.916,0.269,0.861,0.600,0.534,0.565
Apache,0.09,6,6,1.000,0.270,1.000,0.167,0.167,0.167
Zookeeper,0.11,48,50,0.988,0.667,0.878,0.562,0.540,0.551
Hadoop,0.14,115,114,0.925,0.167,0.830,0.278,0.281,0.279
HealthApp,0.12,70,75,0.989,0.517,0.897,0.629,0.587,0.607
OpenStack,0.17,35,43,0.860,0.018,0.795,0.086,0.070,0.077
HPC,0.10,46,46,0.960,0.710,0.935,0.674,0.674,0.674
Mac,0.31,300,341,0.824,0.420,0.789,0.443,0.390,0.415
OpenSSH,0.10,26,26,0.806,0.128,0.885,0.154,0.154,0.154
Spark,0.13,30,36,0.922,0.396,0.818,0.400,0.333,0.364
Thunderbird,0.16,157,149,0.976,0.440,0.843,0.503,0.530,0.516
BGL,0.15,98,120,0.905,0.525,0.752,0.602,0.492,0.541
HDFS,0.11,13,14,0.731,0.166,0.889,0.154,0.143,0.148
