EventID,EventTemplate
P0,Reporting <*> blocks to the master.
P1,"error=<*>, No such file or directory _/|\\_ <*> , <*> error=<*>, No such file or directory"
P2,"Lost task <*>.<*> in stage <*>.<*> (TID <*>, mesos-<*>-<*>): <*>: Requested array size exceeds VM limit"
P3,Setting up ContainerLaunchContext
P4,Registering MapOutputTracker
P5,Uncaught exception:
P6,Removing RDD <*>
P7,Finished task <*>.<*> in stage <*>.<*> (TID <*>). <*> bytes result sent to driver
P8,"Completed container container_<*>_<*>_<*>_<*> on host: mesos-<*>-<*> (state: COMPLETE, exit status: -<*>) _/|\\_ Completed container container_<*>_<*>_<*>_<*> on host: mesos-<*>-<*> (state: COMPLETE, exit status: <*>)"
P9,Running Spark version <*>
P10,SchedulerBackend is ready for scheduling beginning after reached minRegisteredResourcesRatio: <*>.<*>
P11,"Added <*>_<*>_<*> in memory on <*>:<*> (size: <*>.<*> , free: <*>.<*> )"
P12,"Registered signal handlers for [TERM, HUP, INT]"
P13,"<*> is deprecated. Instead, use <*>"
P14,<*>: Set(<*> ) _/|\\_ <*>: Set()
P15,RECEIVED SIGNAL <*>: SIGTERM
P16,Adding task set <*>.<*> with <*> tasks
P17,MemoryStore cleared
P18,Removed <*> successfully in removeExecutor
P19,Asked to remove non-existent executor <*>
P20,Input split: <*>:/<*>/<*>/<*>/<*>/<*>:<*>+<*>/<*>/<*>/<*>/<*>/<*>:<*>+<*>/<*>/<*>/<*>/<*>/<*>:<*>+<*>/<*>/<*>/<*>/<*>/<*>:<*>+<*> _/|\\_ Input split: <*>:/<*>/<*>/<*>/<*>/<*>:<*>+<*> _/|\\_ Input split: <*>://<*>:<*>/<*>/<*>/<*>:<*>+<*> _/|\\_ Input split: <*>:/<*>/<*>/<*>/<*>/<*>:<*>+<*>/<*>/<*>/<*>/<*>/<*>:<*>+<*>/<*>/<*>/<*>/<*>/<*>:<*>+<*> _/|\\_ Input split: <*>:/<*>/<*>/<*>/<*>/<*>:<*>+<*>/<*>/<*>/<*>/<*>/<*>:<*>+<*>
P21,Cleaned accumulator <*>
P22,<*> started
P23,Total input paths to process : <*>
P24,Exception in createBlockOutputStream
P25,MemoryStore started with capacity <*>.<*> 
P26,"Container request (host: Any, capability: <memory:<*>, vCores:<*>>)"
P27,attempt_<*>_<*>_m_<*>_<*>: Committed
P28,'NoneType' and '<*>' _/|\\_ 'NoneType' and 'NoneType' _/|\\_ '<*>' and 'NoneType'
P29,Lost executor <*> on mesos-<*>-<*>: Executor heartbeat timed out after <*> ms
P30,Exception in connection from <*>/<*>:<*> _/|\\_ Exception in connection from /<*>:<*>
P31,Shutdown hook called
P32,Lost executor <*> on mesos-<*>-<*>: Container marked as failed: container_<*>_<*>_<*>_<*> on host: mesos-<*>-<*>. Exit status: <*>. Diagnostics: Container killed on request. Exit code is <*>
P33,Launching container container_<*>_<*>_<*>_<*> for on host mesos-<*>-<*>
P34,Incomplete task interrupted: Attempting to kill Python Worker
P35,Reading broadcast variable <*> took <*> ms
P36,Started <*> remote fetches in <*> ms
P37,BlockManagerMaster stopped
