EventID,EventTemplate
P0,Enabling unmasked SIMD FPU exception support... done.
P1,"security: <*> classes, <*> rules"
P2,Oct <*> :<*>:<*> Privoxy(-<*>) Info: loading configuration file '/etc/privoxy/config':
P3,HCI <*>  _/|\\_ <*> HCI <*> 
P4,md: autorun ...
P5,ttloop: peer died: Invalid or incomplete multibyte or wide character
P6,Bluetooth: <*> ver <*>.<*>
P7,DMI <*>.<*> present.
P8,audit: enabled (after initialization)
P9,Client hung up - probable port-scan
P10,loading configuration from '/etc/named.conf'
P11,kjournald starting. Commit interval <*> seconds
P12,On node <*> totalpages: <*>
P13,"uhci_hcd <*>:<*>:<*>.<*>: irq <*>, io base <*>"
P14,VM: killing process sendmail
P15,sshd -TERM succeeded
P16,Kernel logging (proc) stopped.
P17,succeeded
P18,*** info [<*>.c(<*>)]:
P19,uhci_hcd <*>:<*>:<*>.<*>: UHCI Host Controller
P20,"SELinux: initialized (dev , type mqueue), not configured for labeling"
P21,Bluetooth: Core ver <*>.<*>
P22,check pass; user unknown
P23,microcode: No suitable data for cpu <*>
P24,"<*> zone: <*> pages, LIFO batch:<*>"
P25,Stopping Canna server: succeeded
P26,apm: BIOS version <*>.<*> Flags <*> (Driver version <*>.<*>)
P27,BIOS-<*>: <*> - <*> (usable)
P28,isapnp: Scanning for PnP cards...
P29,Kerberos authentication failed
P30,md: Autodetecting RAID arrays.
P31,hcid startup succeeded
P32,exiting
P33,"SELinux: initialized (dev , type futexfs), uses genfs_contexts"
P34,TCP: Hash tables configured (established <*> bind <*>)
P35,Bluetooth: HCI device and connection manager initialized
P36,Jan <*> :<*>:<*> Privoxy(-<*>) Info: loading configuration file '/etc/privoxy/config':
P37,Bringing up loopback interface: succeeded
P38,PCI: Invalid ACPI-PCI IRQ routing table
P39,<*>-fs: recovery complete.
P40,jserver shutdown <*>
P41,"CPU <*> irqstacks, hard=<*> soft=<*>"
P42,pci_hotplug: PCI Hot Plug PCI Core version: <*>.<*>
P43,"listening on <*> interface <*>, <*>#<*>"
P44,Initializing CPU#<*>
P45,Version <*>.<*>.<*> Starting
P46,ttloop: read: Connection reset by peer
P47,Configuration file /etc/smartd.conf parsed.
P48,Linux version <*>.<*>.<*>-<*>.<*> (bhcompile@bugs.build.redhat.com) (gcc version <*>.<*>.<*> (Red Hat Linux <*>.<*>.<*>-<*>)) #<*> Sat May <*> :<*>:<*> EDT <*>
P49,messagebus <*> 
P50,ttloop: read: Connection timed out
P51,SELinux: Completing initialization.
P52,<*>-fs: write access will be enabled during recovery.
P53,session closed for user <*>
P54,crond <*> succeeded
P55,file descriptor of service comsat has been closed
P56,mapped <*>/<*> trampoline to <*>.
P57,PCI: Using configuration type <*>
P58,Bluetooth: RFCOMM <*> 
P59,"SELinux: initialized (dev , type <*>_<*>), uses genfs_contexts _/|\\_ SELinux: initialized (dev , type <*>), uses genfs_contexts"
P60,authentication failure; logname=test uid=<*> euid=<*> tty= ruser= rhost= user=test
P61,"Warning! Could not relabel with system_u:object_r:devpts_t, not relabeling."
P62,POSIX conformance testing by UNIFIX
P63,"serio: <*> KBD port at <*>,<*> irq <*>"
P64,PCI: Using IRQ router PIIX/ICH [<*>/<*>] at <*>:<*>:<*>.<*>
P65,htt startup succeeded
P66,open(/dev/pts/<*>): No such file or directory
P67,Failure registering capabilities with the kernel
P68,"SELinux: initialized (dev , type eventpollfs), uses genfs_contexts"
P69,starting BIND <*>.<*>.<*> -u named -t /var/named/chroot
P70,"klogd <*>.<*>.<*>, log source = /proc/kmsg started."
P71,Charge: * * * (-<*>% unknown)
P72,VFS: Disk quotas dquot_<*>.<*>.<*>
P73,"Total HugeTLB memory allocated, <*>"
P74,Exiting
P75,Using tsc for high-res timesource
P76,BIOS-provided physical RAM map:
P77,using <*> CPU
P78,Adding <*> swap on /dev/<*>. Priority:-<*> extents:<*>
P79,audit(<*>.<*>:<*>): initialized
P80,klogd <*> succeeded
P81,selinux_register_security: Registering secondary module capability
P82,Initializing IPsec netlink socket
P83,wall: user test broadcasted <*> lines (<*> chars)
P84,"SELinux: initialized (dev , type usbdevfs), uses genfs_contexts"
P85,Enabling fast FPU save and restore... done.
P86,"Device: /dev/hda, is SMART capable. Adding to ""monitor"" list."
P87,"SELinux: initialized (dev , type rootfs), uses genfs_contexts"
P88,connect from <*>-<*>-<*>-<*>-cable.canals.ro
P89,VFS: Mounted root (<*> filesystem).
P90,NET: Registered protocol family <*>
P91,smartd <*> 
P92,"SELinux: initialized (dev , type pipefs), uses task SIDs"
P93,shutting down <*>  _/|\\_ shutting down
P94,portmap <*> 
P95,Connection from <*> on illegal port
P96,Home page is http://smartmontools.sourceforge.net/
P97,service(sshd) ignoring max retries; <*> > <*>
P98,audit(<*>.<*>:<*>): item=<*> name=/<*>/<*>/<*>/<*>/<*> inode=<*> dev=<*>:<*> _/|\\_ audit(<*>.<*>:<*>): item=<*> name=/dev/<*>/<*> inode=<*> dev=<*>:<*> _/|\\_ audit(<*>.<*>:<*>): item=<*> name=/<*>/<*> inode=<*> dev=<*>:<*> _/|\\_ audit(<*>.<*>:<*>): item=<*> name=/<*>/<*>/<*> inode=<*> dev=<*>:<*> _/|\\_ audit(<*>.<*>:<*>): item=<*> name=/<*>/<*>/dev/<*> inode=<*> dev=<*>:<*> _/|\\_ audit(<*>.<*>:<*>): item=<*> name=/<*>/<*>/.<*> inode=<*> dev=<*>:<*> _/|\\_ audit(<*>.<*>:<*>): item=<*> name=/<*>/<*>/<*>/<*>/<*>.<*> inode=<*> dev=<*>:<*> _/|\\_ audit(<*>.<*>:<*>): item=<*> name=/<*>/<*>/dev/<*>/<*>/<*> inode=<*> dev=<*>:<*> _/|\\_ audit(<*>.<*>:<*>): item=<*> name=/<*>//<*>/<*>:<*>/<*>:<*>:<*>.<*>/<*>/<*> inode=<*> dev=<*>:<*> _/|\\_ audit(<*>.<*>:<*>): item=<*> name=/dev/<*> inode=<*> dev=<*>:<*> _/|\\_ audit(<*>.<*>:<*>): item=<*> name=/<*>/<*>.<*>.<*> inode=<*> dev=<*>:<*> _/|\\_ audit(<*>.<*>:<*>): item=<*> name=/<*>/<*>/<*>/<*>/<*>:<*>:<*>.<*>/<*> inode=<*> dev=<*>:<*> _/|\\_ audit(<*>.<*>:<*>): item=<*> name=/<*>/<*>/<*>/<*> inode=<*> dev=<*>:<*> _/|\\_ audit(<*>.<*>:<*>): item=<*> name=/<*> inode=<*> dev=<*>:<*>
P99,Unable to get command line from client!
P100,Disabled Privacy Extensions on device <*>(lo)
P101,agpgart: Detected an Intel <*> E Chipset.
P102,<*> LOWMEM available.
P103,<*>-fs: <*>: <*> orphan inodes deleted
P104,ACPI: Interpreter disabled.
P105,privoxy <*> succeeded
P106,connection from <*> () at <*> _/|\\_ connection from <*> (<*>) at <*> _/|\\_ connection from <*> () at <*>  _/|\\_ connection from <*> (<*>) at <*>  _/|\\_ connection from <*> (<*>at) at <*> 
P107,"<*>: page allocation failure. order:<*>, mode:<*>"
P108,Intel machine check architecture supported.
