EventID,EventTemplate
P0,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
P1,Reading broadcast variable <*> took <*> ms
P2,Registered BlockManager
P3,Found block rdd_<*>_<*> locally
P4,Started reading broadcast variable <*>
P5,Connecting to driver: spark://CoarseGrainedScheduler@<*>:<*>
P6,"<*> is deprecated. Instead, use <*>"
P7,Finished task <*>.<*> in stage <*>.<*> (TID <*>). <*> bytes result sent to driver
P8,Server created on <*>
P9,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_<*>_<*>/blockmgr-<*>-<*>-<*>-<*>-<*>
P10,Successfully started service '<*>' on port <*>.
P11,Got assigned task <*>
P12,Input split: hdfs://<*>:<*>/pjhe/logs/<*>.log:<*>+<*>
P13,MemoryStore started with capacity <*>.<*> 
P14,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-<*>:<*>]
P15,<*> started
P16,Trying to register BlockManager
P17,attempt_<*>_<*>_m_<*>_<*>: Committed
P18,Starting remoting
P19,"Block <*>_<*> stored as <*> in memory (estimated size <*>.<*> , free <*>.<*> ) _/|\\_ Block <*>_<*>_<*> stored as <*> in memory (estimated size <*>.<*> , free <*>.<*> )"
P20,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
P21,Starting executor ID <*> on host mesos-slave-<*>
P22,"Changing <*> acls to: yarn,curi"
P23,Saved output of task 'attempt_<*>_<*>_m_<*>_<*>' to hdfs://<*>:<*>/pjhe/test/<*>/_temporary/<*>/task_<*>_<*>_m_<*>
P24,Successfully registered with driver
P25,File Output Committer Algorithm version is <*>
P26,Running task <*>.<*> in stage <*>.<*> (TID <*>)
P27,"Partition rdd_<*>_<*> not found, computing it"
P28,"Registered signal handlers for [TERM, HUP, INT]"
