EventID,EventTemplate
P0,ciod: <*> to <*> message prefix on <*> CioStream socket to <*>.<*>.<*>.<*>:<*> _/|\\_ ciod: <*> message prefix on CioStream socket to <*>.<*>.<*>.<*>:<*> 
P1,<*> floating point alignment exceptions
P2,rts tree/torus link training failed: wanted: B C X+ X- Y+ Y- Z+ Z- got: B C X- Y- Z+ Z-
P3,fraction rounded.........................<*>
P4,"PrepareForService shutting down <*>(mLctn(<*>-<*>-<*>), mCardSernum(<*>), mLp(FF:<*>:<*>:<*>:<*>:<*>:<*>:<*>:<*>:<*>:<*>:<*>), mIp(<*>.<*>.<*>.<*>), mType(<*>)) as part of Service Action <*> _/|\\_ PrepareForService shutting down <*> (mLctn(<*>-<*>-<*>), mCardSernum(<*>), mLp(FF:<*>:<*>:<*>:<*>:<*>:<*>:<*>:<*>:<*>:<*>:<*>), mIp(<*>.<*>.<*>.<*>), mType(<*>)) as part of Service Action <*>"
P5,program interrupt: unimplemented operation..<*>
P6,"CE sym <*>, at <*>, mask <*>"
P7,"<*> ddr <*>(s) detected and corrected on rank <*>, symbol <*>  _/|\\_ <*> ddr <*>(s) detected and corrected on rank <*>, symbol <*>, <*> "
P8,"ciod: Error loading /g/<*>/buber/Yunsic/BlueGene/partad.develf/taddriver.<*>.exe: program image too big, <*> > <*>"
P9,generating <*>
P10,debug <*> enable............<*> _/|\\_ debug <*> enable.................<*>
P11,program interrupt: privileged instruction...<*>
P12,ciod: pollControlDescriptors: Detected the debugger died.
P13,data cache search parity error detected. attempting to correct
P14,store operation.............................<*>
P15,<*> torus sender z- retransmission error(s) (dcr <*>) detected and corrected over <*> seconds
P16,<*>=<*> dbsr=<*> =<*>
P17,"Kernel detected <*> integer alignment exceptions (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*>"
P18,data store interrupt caused by icbi.........<*>
P19,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
P20,"ciod: Error loading /home/greeno/raptor.new.dev.<*>.BGL.CXX_XL.MPI.ex: invalid or missing program image, No such file or directory"
P21,ciod: Error creating node map from file /home/<*>/<*>-<*>.<*>/results/<*>-<*>.map: Permission denied
