EventID,EventTemplate
P0,Closed socket connection for client <*> (no session established for client)
P1,First is <*>
P2,******* GOODBYE <*> ********
P3,Processed session termination for sessionid: <*>
P4,Server environment:<*>.<*>.<*>=<*>:<*>.<*>:<*>.<*>.<*>:<*>.<*>:<*>.<*>:<*>.<*>:<*>.<*>:<*>.<*>:<*>.<*> _/|\\_ Server environment:<*>.<*>=<*>
P5,minSessionTimeout set to -<*>
P6,Received connection request <*>
P7,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LEADING (n.state), <*> (n.sid), <*> (n.peerEPoch), <*> (my state) _/|\\_ Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), <*> (n.sid), <*> (n.peerEPoch), LEADING (my state)"
P8,shutdown of request processor complete
P9,caught end of stream exception
P10,Sending DIFF
P11,Got user-level KeeperException when processing sessionid:<*> type:create cxid:<*> zxid:<*> txntype:-<*> reqpath:n/a Error Path:/home/curi/.zookeeper Error:KeeperErrorCode = NodeExists for /home/curi/.zookeeper
P12,maxSessionTimeout set to -<*>
P13,Established session <*> with negotiated timeout <*> for client <*>
P14,"Have smaller server identifier, so dropping the connection: (<*>, <*>)"
P15,Accepted socket connection from <*>
P16,Server environment:java.vendor=Oracle Corporation
P17,Cannot open channel to <*> at election address <*>
P18,Unexpected Exception:
P19,autopurge.<*> set to <*>
P20,Revalidating client: <*>
P21,Interrupting SendWorker
P22,Client attempting to establish new session at <*>
P23,"New election. My id = <*>, proposed zxid=<*>"
P24,Notification time out: <*>
P25,Interrupted while waiting for message on queue
P26,Closed socket connection for client <*> which had sessionid <*>
P27,tickTime set to <*>
P28,Getting a snapshot from leader
P29,Reading snapshot /var/lib/zookeeper/version-<*>/snapshot.<*>
P30,Exception causing close of session <*> due to java.io.IOException: ZooKeeperServer not running
P31,My election bind port: <*>
P32,LOOKING
P33,Client attempting to renew session <*> at <*>
P34,"Server environment:zookeeper.version=<*>.<*>.<*>--<*>, built on <*>/<*>/<*> :<*> GMT"
P35,Starting quorum peer
P36,Unexpected exception causing shutdown while sock still open
P37,FOLLOWING
P38,Connection request from old client <*>; will be dropped if server is in r-o mode
P39,Send worker leaving thread
P40,FOLLOWING - LEADER ELECTION TOOK - <*>
P41,Follower sid: <*> : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@<*>
P42,"Expiring session <*>, timeout of <*> exceeded"
P43,Have quorum of supporters; starting up and setting last processed zxid: <*>
P44,"Connection broken for id <*>, my id = <*>, error ="
P45,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), <*> (n.sid), <*> (n.peerEPoch), <*> (my state)"
P46,Snapshotting: <*> to /var/lib/zookeeper/version-<*>/snapshot.<*>
