EventID,EventTemplate
P0,BLOCK* ask <*> to replicate <*> to datanode(s) <*> _/|\\_ BLOCK* ask <*> to replicate <*> to datanode(s) <*> 
P1,BLOCK* NameSystem.<*>: <*> : <*> is added to <*>  _/|\\_ BLOCK* NameSystem.<*>: <*> is added to <*> 
P2,<*> java.io.IOException: Connection reset by peer _/|\\_ <*>:<*> java.io.IOException: Connection reset by peer
P3,Received block <*> src: /<*> dest: /<*> of size <*>
P4,PacketResponder <*> Exception java.<*>.<*>.<*> _/|\\_ PacketResponder <*> Exception java.<*>.<*>
P5,Receiving block <*> src: /<*> dest: /<*>
P6,BLOCK* Removing block <*> from neededReplications as it does not belong to any file.
P7,<*> for <*> java.<*>.<*>: <*> millis timeout while waiting for channel <*> for <*>. <*> : java.nio.channels.SocketChannel[connected local=/<*> remote=/<*>] _/|\\_ <*> for <*> java.<*>.<*>: <*> while waiting for <*> channel java.nio.channels.SocketChannel[connected local=/<*> remote=/<*>]. <*> millis timeout <*>. _/|\\_ <*> java.<*>.<*>: <*> while waiting for <*> channel java.nio.channels.SocketChannel[connected local=/<*> remote=/<*>]. <*> millis timeout <*>. _/|\\_ <*> java.<*>.<*>: <*> millis timeout while waiting for channel <*> for <*>. <*> : java.nio.channels.SocketChannel[connected local=/<*> remote=/<*>]
P8,Verification succeeded for <*>
P9,Reopen Block <*>
P10,PacketResponder <*> for block <*> terminating
P11,BLOCK* NameSystem.allocateBlock: /<*>/<*>/<*>/_<*>/<*>/<*>.<*>.<*>_<*>_<*>_<*>_<*>_<*>_<*>. <*> _/|\\_ BLOCK* NameSystem.allocateBlock: /<*>/<*>/<*>/<*>/<*>_<*>_<*>/<*>.<*>. <*> _/|\\_ BLOCK* NameSystem.allocateBlock: /<*>/<*>/<*>/_<*>/_<*>_<*>_<*>_<*>_<*>_<*>/<*>. <*> _/|\\_ BLOCK* NameSystem.allocateBlock: /<*>/<*>/<*>/_<*>/<*>/<*>.<*>.<*>_<*>_<*>_<*>_<*>_<*>.<*>. <*>
P12,writeBlock <*> received exception java.io.IOException: Interrupted receiveBlock
P13,Adding an already existing block <*>
P14,Received block <*> of size <*> from /<*>
P15,<*>:Got exception while serving <*> to /<*>:
P16,Unexpected error trying to delete block <*>. BlockInfo not found in volumeMap.
P17,Changing block file offset of block <*> from <*> to <*> meta file offset to <*>
P18,PendingReplicationMonitor timed out block <*>
P19,<*> Served block <*> to /<*>
P20,writeBlock <*> received exception java.io.EOFException
P21,PacketResponder <*> Exception java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[closed]. <*> millis timeout left.
P22,<*>:Exception writing block <*> to mirror <*>
P23,PacketResponder <*> Exception java.io.IOException: The stream is closed
P24,<*> java.io.IOException: Broken pipe
P25,Deleting block <*> file /mnt/hadoop/dfs/data/current/<*>/<*> _/|\\_ Deleting block <*> file /mnt/hadoop/dfs/data/current/<*>
P26,Exception in receiveBlock for block <*> java.io.EOFException
P27,<*>:Transmitted block <*> to /<*>
P28,BLOCK* NameSystem.addStoredBlock: addStoredBlock request received for <*> on <*> size <*> But it does not belong to any file.
P29,"<*> Starting thread to transfer block <*> to <*>, <*>"
P30,writeBlock <*> received exception java.io.IOException: Could not read from stream
P31,"writeBlock <*> received exception java.io.IOException: Block <*> is valid, and cannot be written to."
P32,writeBlock <*> received exception java.net.NoRouteToHostException: No route to host
P33,Receiving empty packet for block <*>
