,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.17,0.2,0.1,0.14,0.14,0.11,0.18,0.11,0.31,0.14,0.16,0.17,0.14,0.13,0.157
identified_templates,5.0,90.0,5.0,37.0,112.0,66.0,25.0,38.0,196.0,16.0,26.0,118.0,65.0,9.0,57.714
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.473,0.597,0.725,0.753,0.872,0.979,0.682,0.882,0.486,0.371,0.917,0.828,0.676,0.523,0.697
PA,0.0,0.125,0.0,0.492,0.099,0.514,0.018,0.663,0.244,0.057,0.394,0.374,0.304,0.166,0.246
FGA,0.154,0.683,0.727,0.667,0.788,0.809,0.618,0.69,0.51,0.429,0.645,0.659,0.476,0.609,0.605
PTA,0.0,0.489,0.0,0.459,0.232,0.621,0.12,0.579,0.362,0.125,0.308,0.492,0.462,0.222,0.319
RTA,0.0,0.373,0.0,0.34,0.228,0.547,0.07,0.478,0.208,0.077,0.222,0.389,0.25,0.143,0.238
FTA,0.0,0.423,0.0,0.391,0.23,0.582,0.088,0.524,0.264,0.095,0.258,0.434,0.324,0.174,0.27
