EventID,EventTemplate
P0,Retrying connect to server: MININT-FNANLI<*>.fareast.corp.microsoft.com/<*>.<*>.<*>.<*>:<*>. Already tried <*> time(s); maxRetries=<*>
P1,Abandoning BP-<*>-<*>.<*>.<*>.<*>-<*>:blk_<*>_<*>
P2,(RESET) equator <*> kv <*>(<*>) kvi <*>(<*>)
P3,Assigning <*> : <*>: <*> : MININT-FNANLI<*>.fareast.corp.microsoft.com:<*> : MININT-FNANLI<*>.fareast.corp.microsoft.com:<*> : <*>:<*> :<*> : <*> : <*> : <*> : <*>.<*>.<*>.<*>:<*> to <*>  _/|\\_ Assigning MININT-FNANLI<*>.fareast.corp.microsoft.com:<*> to <*>
P4,Received completed container container_<*>_<*>_<*>_<*>
P5,Socket Reader #<*> for port <*>: readAndProcess from client <*>.<*>.<*>.<*> threw exception [java.io.IOException: An existing connection was forcibly closed by the remote host]
P6,"Cannot assign container Container: [ContainerId: container_<*>_<*>_<*>_<*>, NodeId: <*>DN<*>IQ.fareast.corp.microsoft.com:<*>, NodeHttpAddress: <*>DN<*>IQ.fareast.corp.microsoft.com:<*>, Resource: <memory:<*>, vCores:<*>>, Priority: <*>, Token: Token { kind: ContainerToken, service: <*>.<*>.<*>.<*>:<*> }, ] for a map as either container memory less than required <memory:<*>, vCores:<*>> or no pending map tasks - maps.isEmpty=true"
P7,Task: attempt_<*>_<*>_m_<*>_<*> - exited : java.io.IOException: <*> 
P8,Connecting to ResourceManager at MSRA-SA-<*>/<*>.<*>.<*>.<*>:<*>
P9,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)"
P10,Resolved MSRA-SA-<*>.fareast.corp.microsoft.com to /default-rack
P11,Instantiated MRClientService at MININT-<*>DGDAM<*>.fareast.corp.microsoft.com/<*>.<*>.<*>.<*>:<*>
P12,Communication exception: java.net.ConnectException: Call From MSRA-SA-<*>/<*>.<*>.<*>.<*> to minint-<*>.fareast.corp.microsoft.com:<*> failed on connection exception: java.net.ConnectException: Connection timed out: no further information; For more details see: http://wiki.apache.org/hadoop/ConnectionRefused
P13,Error communicating with RM: <*> RM <*>  _/|\\_ Error communicating with RM: <*> : <*>
P14,TaskAttempt: [attempt_<*>_<*>_<*>_<*>_<*>] using containerId: [container_<*>_<*>_<*>_<*> on NM: [MSRA-SA-<*>.fareast.corp.microsoft.com:<*>]
P15,Could not parse the old history file. Will not have old AMinfos
P16,kvstart = <*>; length = <*> _/|\\_ kvstart = <*>; <*> = <*>; length = <*>
P17,Exception <*> 
P18,EventFetcher is interrupted.. Returning
P19,TaskAttempt killed because it ran on unusable node <*>DN<*>IQ.fareast.corp.microsoft.com:<*>. AttemptId:attempt_<*>_<*>_m_<*>_<*>
P20,Result of canCommit for attempt_<*>_<*>_r_<*>_<*>:true
P21,Diagnostics report from attempt_<*>_<*>_m_<*>_<*>: Error: java.net.NoRouteToHostException: No Route to Host from MININT-FNANLI<*>/<*>.<*>.<*>.<*> to msra-sa-<*>:<*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost
P22,Progress of TaskAttempt attempt_<*>_<*>_<*>_<*>_<*> is : <*>.<*>
P23,"getResources() for application_<*>_<*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:-<*>> knownNMs=<*>"
P24,Preempting attempt_<*>_<*>_r_<*>_<*>
P25,task_<*>_<*>_<*>_<*> Task Transitioned from SCHEDULED to RUNNING
P26,"Communication exception: java.io.IOException: Failed on local exception: java.io.IOException: An existing connection was forcibly closed by the remote host; Host Details : local host is: ""MSRA-SA-<*>/<*>.<*>.<*>.<*>""; destination host is: ""<*>-<*>.fareast.corp.microsoft.com"":<*>; _/|\\_ Communication exception: java.io.IOException: Failed on local exception: java.io.IOException: An existing connection was forcibly closed by the remote host; Host Details : local host is: ""MSRA-SA-<*>/<*>.<*>.<*>.<*>""; destination host is: ""<*>.fareast.corp.microsoft.com"":<*>;"
P27,attempt_<*>_<*>_r_<*>_<*> TaskAttempt Transitioned from COMMIT_PENDING to SUCCESS_CONTAINER_CLEANUP
