Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.17,14,8,0.516,0.000,0.545,0.000,0.000,0.000
Linux,0.14,131,118,0.421,0.141,0.892,0.519,0.576,0.546
Apache,0.10,6,6,1.000,0.270,1.000,0.167,0.167,0.167
Zookeeper,0.13,52,50,0.991,0.670,0.882,0.558,0.580,0.569
Hadoop,0.13,116,114,0.980,0.170,0.948,0.310,0.316,0.313
HealthApp,0.11,73,75,0.902,0.431,0.959,0.671,0.653,0.662
OpenStack,0.18,43,43,0.491,0.018,0.930,0.070,0.070,0.070
HPC,0.12,43,46,0.909,0.872,0.921,0.767,0.717,0.742
Mac,0.27,350,341,0.911,0.425,0.932,0.451,0.463,0.457
OpenSSH,0.17,176,26,0.432,0.071,0.188,0.017,0.115,0.030
Spark,0.12,33,36,0.922,0.396,0.783,0.364,0.333,0.348
Thunderbird,0.16,185,149,0.683,0.446,0.832,0.481,0.597,0.533
BGL,0.20,127,120,0.941,0.928,0.874,0.622,0.658,0.640
HDFS,0.09,14,14,1.000,0.000,1.000,0.000,0.000,0.000
