EventID,EventTemplate
P0,[client <*>.<*>.<*>.<*>] File does not exist: /var/www/html/<*>/<*> _/|\\_ [client <*>.<*>.<*>.<*>] File does not exist: /var/www/html/html _/|\\_ [client <*>.<*>.<*>.<*>] File does not exist: /var/www/html/<*>/<*>. _/|\\_ [client <*>.<*>.<*>.<*>] File does not exist: /var/www/html/... _/|\\_ [client <*>.<*>.<*>.<*>] File does not exist: /var/www/html/<*> _/|\\_ [client <*>.<*>.<*>.<*>] File does not exist: /var/www/html/<*>.<*> _/|\\_ [client <*>.<*>.<*>.<*>] File does not exist: /var/www/html/<*>/..<*>.. _/|\\_ [client <*>.<*>.<*>.<*>] File does not exist: /var/www/html/<*>/<*>.<*>
P1,"[client <*>.<*>.<*>.<*>] mod_security: Access denied with code <*>. Error reading POST data, error_code=<*> [hostname ""<*>.<*>.<*>.<*>""] [uri ""/xmlrpc.php""]"
P2,mod_jk child init <*> 
P3,"child process <*> still did not exit, sending a SIGTERM"
P4,config.update(): Can't create channel.jni:jni
P5,<*>_init() Found child <*> in scoreboard slot <*>
P6,mod_security/<*>.<*> configured
P7,Digest: done
P8,suEXEC mechanism enabled (wrapper: /usr/sbin/suexec)
P9,"Graceful restart requested, doing restart"
P10,[client <*>.<*>.<*>.<*>] request failed: URI too long (longer than <*>)
P11,LDAP: Built with OpenLDAP LDAP SDK
P12,"env.<*>(): Factory error creating worker.jni:onStartup ( worker.jni, onStartup)"
P13,"env.<*>(): Factory error creating channel.jni:jni ( channel.jni, jni)"
P14,[client <*>.<*>.<*>.<*>] script not found or unable to stat: /var/www/cgi-bin/<*>. _/|\\_ [client <*>.<*>.<*>.<*>] script not found or unable to stat: /var/www/cgi-bin/<*>.cgi _/|\\_ [client <*>.<*>.<*>.<*>] script not found or unable to stat: /var/www/cgi-bin/<*>.<*> _/|\\_ [client <*>.<*>.<*>.<*>] script not found or unable to stat: /var/www/cgi-bin/<*>
P15,[client <*>.<*>.<*>.<*>] attempt to invoke directory as script: /var/www/cgi-bin/
P16,mod_jk child workerEnv in error state <*>
P17,"env.<*>(): Factory error creating worker.jni:onShutdown ( worker.jni, onShutdown)"
P18,[client <*>.<*>.<*>.<*>] request failed: error reading the headers
P19,mod_python: Creating <*> session mutexes based on <*> max processes and <*> max threads.
P20,Apache/<*>.<*>.<*> (Fedora) configured -- resuming normal operations
P21,<*>_init() Can't find child <*> in scoreboard
P22,config.update(): Can't create worker.jni:onShutdown
P23,[client <*>.<*>.<*>.<*>] Invalid URI in request GET HTTP/<*>.<*>
P24,workerEnv.init() ok /etc/httpd/conf/<*>.properties
P25,mod_<*> Shutting down
P26,config.update(): Can't create vm:
P27,[client <*>.<*>.<*>.<*>] client sent HTTP/<*>.<*> request without hostname (see <*> section <*>.<*>): /
P28,[client <*>.<*>.<*>.<*>] Directory index forbidden by rule: /var/www/html/
P29,config.update(): Can't create worker.jni:onStartup
P30,"env.<*>(): Factory error creating vm: ( vm, )"
P31,Digest: generating secret for digest authentication ...
P32,LDAP: SSL support unavailable
P33,[client <*>.<*>.<*>.<*>] Attempt to serve directory: /var/www/html/
P34,uriMap.mapUri() uri must start with /
