EventID,EventTemplate
P0,<*> metrics system started
P1,Using callQueue class java.util.concurrent.LinkedBlockingQueue
P2,Notify RMCommunicator isAMLastRetry: false
P3,Task: attempt_<*>_<*>_m_<*>_<*> - failed due to FSError: java.io.IOException: There is not enough space on the disk
P4,attempt_<*>_<*>_r_<*>_<*> TaskAttempt Transitioned from ASSIGNED to RUNNING
P5,Stopping JobHistoryEventHandler. Size of the outstanding queue size is <*>
P6,All maps assigned. Ramping up all remaining reduces:<*>
P7,"<*>.<*>.<*> is deprecated. Instead, use <*>.<*>.<*> _/|\\_ <*>.<*> is deprecated. Instead, use <*>.<*>.<*>"
P8,Sleeping for <*> before retrying again. Got null now.
P9,Diagnostics report from attempt_<*>_<*>_m_<*>_<*>: Error: org.apache.hadoop.util.DiskChecker$DiskErrorException: Could not find any valid local directory for output/attempt_<*>_<*>_m_<*>_<*>/file.out
P10,Task succeeded with attempt attempt_<*>_<*>_<*>_<*>_<*>
P11,<*>.fareast.corp.microsoft.com:<*> freed by fetcher#<*> in <*>
P12,kvstart = <*>; length = <*>
P13,The job-<*> file on the remote FS is /tmp/hadoop-yarn/staging/msrabi/.staging/job_<*>_<*>/job.<*> _/|\\_ The job-<*> file on the remote FS is <*>//<*>-<*>-<*>/tmp/hadoop-yarn/staging/msrabi/.staging/job_<*>_<*>/job.<*>
P14,Added global filter 'safety' (class=org.apache.hadoop.http.<*>$QuotingInputFilter)
P15,"Communication exception: java.io.IOException: Failed on local exception: java.io.IOException: An existing connection was forcibly closed by the remote host; Host Details : local host is: ""<*>-<*>/<*>.<*>.<*>.<*>""; destination host is: ""<*>-<*>.<*>.<*>.<*>.<*>"":<*>; _/|\\_ Communication exception: java.io.IOException: Failed on local exception: java.io.IOException: An existing connection was forcibly closed by the remote host; Host Details : local host is: ""<*>-<*>/<*>.<*>.<*>.<*>""; destination host is: ""<*>.<*>.<*>.<*>.<*>"":<*>; _/|\\_ Communication exception: java.io.IOException: Failed on local exception: java.io.IOException: An existing connection was forcibly closed by the remote host; Host Details : local host is: ""<*>-<*>/<*>.<*>.<*>.<*>""; destination host is: ""<*>.<*>.<*>.<*>"":<*>; _/|\\_ Communication exception: java.io.IOException: Failed on local exception: java.io.IOException: An existing connection was forcibly closed by the remote host; Host Details : local host is: ""<*>-<*>-<*>/<*>.<*>.<*>.<*>""; destination host is: ""<*>.<*>.<*>.<*>.<*>"":<*>; _/|\\_ Communication exception: java.io.IOException: Failed on local exception: java.io.IOException: An existing connection was forcibly closed by the remote host; Host Details : local host is: ""<*>/<*>.<*>.<*>.<*>""; destination host is: ""<*>-<*>.<*>.<*>.<*>.<*>"":<*>; _/|\\_ Communication exception: java.io.IOException: Failed on local exception: java.io.IOException: An existing connection was forcibly closed by the remote host; Host Details : local host is: ""<*>-<*>-<*>/<*>.<*>.<*>.<*>""; destination host is: ""<*>-<*>.<*>.<*>.<*>.<*>"":<*>;"
P16,JobHistoryEventHandler notified that forceJobCompletion is true
P17,"Recovering task task_<*>_<*>_m_<*> from prior app attempt, status was SUCCEEDED"
P18,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static
P19,task_<*>_<*>_r_<*> Task Transitioned from NEW to SCHEDULED
P20,"Error Recovery for block BP-<*>-<*>.<*>.<*>.<*>-<*>:blk_<*>_<*> in pipeline <*>.<*>.<*>.<*>:<*>, <*>.<*>.<*>.<*>:<*>: bad datanode <*>.<*>.<*>.<*>:<*>"
P21,task_<*>_<*>_m_<*> Task Transitioned from RUNNING to SUCCEEDED
P22,Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_<*>_<*>_<*>_<*> taskAttempt attempt_<*>_<*>_<*>_<*>_<*>
P23,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from KILL_CONTAINER_CLEANUP to KILL_TASK_CLEANUP
P24,We launched <*> speculations. Sleeping <*> milliseconds.
P25,bufstart = <*>; bufvoid = <*>
P26,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce
P27,DFS Read
P28,OutputCommitter set in config null
P29,Result of canCommit for attempt_<*>_<*>_r_<*>_<*>:true
P30,IPC Server Responder: starting
P31,Task:attempt_<*>_<*>_<*>_<*>_<*> is done. And is in the process of committing
P32,Input size for job job_<*>_<*> = <*>. Number of splits = <*>
P33,Assigned container container_<*>_<*>_<*>_<*> to attempt_<*>_<*>_r_<*>_<*>
P34,Merging <*> intermediate segments out of a total of <*>
P35,"Cannot assign container Container: [ContainerId: container_<*>_<*>_<*>_<*>, NodeId: <*>-<*>-<*>.fareast.corp.microsoft.com:<*>, NodeHttpAddress: <*>-<*>-<*>.fareast.corp.microsoft.com:<*>, Resource: <memory:<*>, vCores:<*>>, Priority: <*>, Token: Token { kind: ContainerToken, service: <*>.<*>.<*>.<*>:<*> }, ] for a map as either container memory less than required <memory:<*>, vCores:<*>> or no pending map tasks - maps.isEmpty=true _/|\\_ Cannot assign container Container: [ContainerId: container_<*>_<*>_<*>_<*>, NodeId: <*>-<*>.fareast.corp.microsoft.com:<*>, NodeHttpAddress: <*>-<*>.fareast.corp.microsoft.com:<*>, Resource: <memory:<*>, vCores:<*>>, Priority: <*>, Token: Token { kind: ContainerToken, service: <*>.<*>.<*>.<*>:<*> }, ] for a map as either container memory less than required <memory:<*>, vCores:<*>> or no pending map tasks - maps.isEmpty=true _/|\\_ Cannot assign container Container: [ContainerId: container_<*>_<*>_<*>_<*>, NodeId: <*>.fareast.corp.microsoft.com:<*>, NodeHttpAddress: <*>.fareast.corp.microsoft.com:<*>, Resource: <memory:<*>, vCores:<*>>, Priority: <*>, Token: Token { kind: ContainerToken, service: <*>.<*>.<*>.<*>:<*> }, ] for a map as either container memory less than required <memory:<*>, vCores:<*>> or no pending map tasks - maps.isEmpty=true"
P36,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from NEW to UNASSIGNED
P37,Progress of TaskAttempt attempt_<*>_<*>_r_<*>_<*> is : <*>.<*>
P38,(RESET) equator <*> kv <*>(<*>) kvi <*>(<*>)
P39,Abandoning BP-<*>-<*>.<*>.<*>.<*>-<*>:blk_<*>_<*>
P40,task_<*>_<*>_r_<*> Task Transitioned from RUNNING to SUCCEEDED
P41,attempt_<*>_<*>_r_<*>_<*> Thread started: EventFetcher for fetching Map Completion Events
P42,DataStreamer Exception
P43,Map output collector class = org.apache.hadoop.mapred.MapTask$MapOutputBuffer
P44,Diagnostics report from attempt_<*>_<*>_m_<*>_<*>: Error: java.io.IOException: There is not enough space on the disk
P45,<*> attempt_<*>_<*>_m_<*>_<*>
P46,JVM with ID : jvm_<*>_<*>_<*>_<*> asked for a task
P47,Executing with tokens:
P48,Task cleanup failed for attempt attempt_<*>_<*>_m_<*>_<*>
P49,"Event Writer setup for JobId: job_<*>_<*>, File: hdfs://msra-sa-<*>:<*>/tmp/hadoop-yarn/staging/msrabi/.staging/job_<*>_<*>/job_<*>_<*>_<*>.jhist"
P50,Using ShuffleConsumerPlugin: org.apache.hadoop.mapreduce.task.reduce.Shuffle@<*>
P51,ReduceTask metrics system stopped.
P52,adding path spec: /<*>/*
P53,attempt_<*>_<*>_r_<*>_<*> TaskAttempt Transitioned from RUNNING to <*>_<*> _/|\\_ attempt_<*>_<*>_r_<*>_<*> TaskAttempt Transitioned from RUNNING to <*>
P54,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from UNASSIGNED to KILLED
P55,Deleting staging directory hdfs://msra-sa-<*>:<*> /tmp/hadoop-yarn/staging/msrabi/.staging/job_<*>_<*>
P56,Assigned container container_<*>_<*>_<*>_<*> to attempt_<*>_<*>_m_<*>_<*>
P57,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>
P58,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>
P59,DefaultSpeculator.addSpeculativeAttempt -- we are speculating task_<*>_<*>_m_<*>
P60,Setting job diagnostics to
P61,Exception running child : java.net.NoRouteToHostException: No Route to Host from MININT-<*>/<*>.<*>.<*>.<*> to msra-sa-<*>:<*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost
P62,Registered webapp guice modules
P63,attempt_<*>_<*>_m_<*>_<*>: Shuffling to disk since <*> is greater than maxSingleShuffleLimit (<*>)
P64,Could not parse the old history file. Will not have old AMinfos
P65,Spilling map output
P66,Adding protocol org.apache.hadoop.mapreduce.<*>.api.MRClientProtocolPB to the server
P67,Task: attempt_<*>_<*>_m_<*>_<*> - exited : java.io.IOException: Spill failed
P68,Graceful stop failed
P69,Exception running child : org.apache.hadoop.mapreduce.task.reduce.Shuffle$ShuffleError: error in shuffle in fetcher#<*>
P70,Starting Socket Reader #<*> for port <*>
P71,bufstart = <*>; bufend = <*>; bufvoid = <*>
P72,"Recalculating schedule, headroom=<memory:<*>, vCores:-<*>>"
P73,Received completed container container_<*>_<*>_<*>_<*>
P74,Issuing kill to other attempt attempt_<*>_<*>_m_<*>_<*>
P75,History url is http://<*>.fareast.corp.microsoft.com:<*>/jobhistory/job/job_<*>_<*>
P76,<*> from attempt_<*>_<*>_r_<*>_<*>  _/|\\_ <*> from attempt_<*>_<*>_r_<*>_<*> _<*>_<*>_<*>_<*>  _/|\\_ <*> from attempt_<*>_<*>_r_<*>_<*>
P77,attempt_<*>_<*>_r_<*>_<*> TaskAttempt Transitioned from NEW to UNASSIGNED
P78,Starting flush of map output
P79,attempt_<*>_<*>_r_<*>_<*> TaskAttempt Transitioned from FAIL_TASK_CLEANUP to FAILED
P80,Found jobId job_<*>_<*> to have not been closed. Will close
P81,Commit go/no-go request from attempt_<*>_<*>_r_<*>_<*>
P82,Could not delete hdfs://msra-sa-<*>:<*>/<*>/<*>/_temporary/<*>/_temporary/attempt_<*>_<*>_<*>_<*>_<*>
P83,Exception while unregistering
P84,"Merging <*> segments, <*> bytes from memory into reduce"
P85,"completedMapPercent <*>.<*> totalResourceLimit:<memory:<*>, vCores:-<*>> finalMapResourceLimit:<memory:<*>, vCores:<*>> finalReduceResourceLimit:<memory:<*>, vCores:-<*>> netScheduledMapResource:<memory:<*>, vCores:<*>> netScheduledReduceResource:<memory:<*>, vCores:<*>> _/|\\_ completedMapPercent <*>.<*> totalResourceLimit:<memory:<*>, vCores:-<*>> finalMapResourceLimit:<memory:<*>, vCores:-<*>> finalReduceResourceLimit:<memory:<*>, vCores:-<*>> netScheduledMapResource:<memory:<*>, vCores:<*>> netScheduledReduceResource:<memory:<*>, vCores:<*>> _/|\\_ completedMapPercent <*>.<*> totalResourceLimit:<memory:<*>, vCores:-<*>> finalMapResourceLimit:<memory:<*>, vCores:-<*>> finalReduceResourceLimit:<memory:<*>, vCores:<*>> netScheduledMapResource:<memory:<*>, vCores:<*>> netScheduledReduceResource:<memory:<*>, vCores:<*>>"
P86,"DFS chooseDataNode: got # <*> IOException, will wait for <*>.<*> msec."
P87,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from SUCCESS_CONTAINER_CLEANUP to SUCCEEDED
P88,Stopping MapTask metrics system...
P89,Instantiated MRClientService at <*>.fareast.corp.microsoft.com/<*>.<*>.<*>.<*>:<*>
P90,"In stop, writing event <*>_FINISHED"
P91,Killing taskAttempt:attempt_<*>_<*>_<*>_<*>_<*> because it is running on unusable node:<*>.fareast.corp.microsoft.com:<*>
P92,Previous history file is at hdfs://msra-sa-<*>:<*>/tmp/hadoop-yarn/staging/msrabi/.staging/job_<*>_<*>/job_<*>_<*>_<*>.jhist
P93,"Assigning container Container: [ContainerId: container_<*>_<*>_<*>_<*>, NodeId: <*>.fareast.corp.microsoft.com:<*>, NodeHttpAddress: <*>.fareast.corp.microsoft.com:<*>, Resource: <memory:<*>, vCores:<*>>, Priority: <*>, Token: Token { kind: ContainerToken, service: <*>.<*>.<*>.<*>:<*> }, ] to fast fail map"
P94,"Failed to connect to /<*>.<*>.<*>.<*>:<*> for block, add to deadNodes and continue. java.net.ConnectException: Connection refused: no further information"
P95,JVM with ID: jvm_<*>_<*>_<*>_<*> given task: attempt_<*>_<*>_<*>_<*>_<*>
P96,"Slow ReadProcessor read fields took <*> (threshold=<*>); ack: seqno: -<*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*>, targets: [<*>.<*>.<*>.<*>:<*>, <*>.<*>.<*>.<*>:<*>]"
P97,IPC Server handler <*> on <*> caught an exception
P98,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from NEW to SUCCEEDED
P99,blacklistDisablePercent is <*>
P100,Web app /mapreduce started at <*>
P101,"MRAppMaster launching normal, non-uberized, multi-container job job_<*>_<*>."
P102,task_<*>_<*>_m_<*> Task Transitioned from SCHEDULED to RUNNING
