EventID,EventTemplate
P0,Connection closed by <*>.<*>.<*>.<*> [preauth]
P1,Invalid user zxdbm_epg from <*>.<*>.<*>.<*>
P2,Failed password for invalid user <*>.<*> from <*>.<*>.<*>.<*> port <*>  _/|\\_ Failed password for invalid user .<*>.<*> from <*>.<*>.<*>.<*> port <*>  _/|\\_ Failed password for invalid user user from <*>.<*>.<*>.<*> port <*>  _/|\\_ Failed password for invalid user <*>user from <*>.<*>.<*>.<*> port <*>  _/|\\_ Failed password for invalid user from <*>.<*>.<*>.<*> port <*>  _/|\\_ Failed password for invalid user <*> from <*>.<*>.<*>.<*> port <*> 
P3,"Address <*>.<*>.<*>.<*> maps to <*>, but this does not map back to the address - POSSIBLE BREAK-IN ATTEMPT! _/|\\_ Address <*>.<*>.<*>.<*> maps to <*>.<*>.<*>.<*>, but this does not map back to the address - POSSIBLE BREAK-IN ATTEMPT! _/|\\_ Address <*>.<*>.<*>.<*> maps to <*>.<*>.<*>, but this does not map back to the address - POSSIBLE BREAK-IN ATTEMPT! _/|\\_ Address <*>.<*>.<*>.<*> maps to <*>-<*>-<*>-<*>-<*>.<*>.<*>, but this does not map back to the address - POSSIBLE BREAK-IN ATTEMPT! _/|\\_ Address <*>.<*>.<*>.<*> maps to <*>.<*>.<*>.<*>.<*>.<*>, but this does not map back to the address - POSSIBLE BREAK-IN ATTEMPT! _/|\\_ Address <*>.<*>.<*>.<*> maps to <*>.<*>, but this does not map back to the address - POSSIBLE BREAK-IN ATTEMPT! _/|\\_ Address <*>.<*>.<*>.<*> maps to <*>-<*>.<*>.<*>, but this does not map back to the address - POSSIBLE BREAK-IN ATTEMPT!"
P4,Invalid user ram_k from <*>.<*>.<*>.<*>
P5,input_userauth_request: invalid user user [preauth] _/|\\_ input_userauth_request: invalid user <*>user [preauth] _/|\\_ input_userauth_request: invalid user <*>_<*> [preauth] _/|\\_ input_userauth_request: invalid user <*> [preauth]
P6,error: connect_to <*>.<*>.<*>.<*> port <*>: failed.
P7,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*> user=root _/|\\_ pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>.<*>.<*>.<*> user=root _/|\\_ pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>.<*>.<*>.<*>.<*>.<*> user=root _/|\\_ pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>.<*>.<*>.<*>.<*> user=root _/|\\_ pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*> user=root _/|\\_ pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>.<*>.<*> user=root
P8,Failed password for root from <*>.<*>.<*>.<*> port <*> 
P9,Received disconnect from <*>.<*>.<*>.<*>: <*>: Bye Bye [preauth]
