,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,1.45,0.65,1.14,1.69,4.98,3.89,8.63,7.41,3.11,18.21,350.75,444.91,108.58,297.65,89.504
identified_templates,9.0,372.0,32.0,76.0,233.0,153.0,42.0,71.0,683.0,1593.0,391.0,8457.0,434.0,41.0,899.071
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.521,0.358,0.997,0.985,0.629,0.996,0.455,0.823,0.803,0.308,0.857,0.577,0.869,1.0,0.727
PA,0.0,0.064,0.093,0.503,0.247,0.476,0.019,0.861,0.367,0.094,0.414,0.158,0.809,0.0,0.293
FGA,0.7,0.814,0.918,0.848,0.819,0.867,0.844,0.814,0.753,0.032,0.561,0.161,0.554,0.851,0.681
PTA,0.0,0.333,0.281,0.553,0.318,0.425,0.119,0.62,0.312,0.007,0.207,0.037,0.35,0.0,0.254
RTA,0.0,0.367,0.31,0.472,0.314,0.417,0.104,0.595,0.34,0.289,0.343,0.255,0.475,0.0,0.306
FTA,0.0,0.349,0.295,0.509,0.316,0.421,0.111,0.607,0.325,0.013,0.258,0.065,0.403,0.0,0.262
