EventID,EventTemplate
P0,"security: <*> classes, <*> rules"
P1,shutting down for system reboot
P2,HCI daemon ver <*>.<*> started
P3,<*> :<*>:<*> Privoxy(-<*>) Info: loading configuration file '/etc/privoxy/config':
P4,md: autorun ...
P5,Service telnet failed to start and is deactivated.
P6,ttloop: peer died: Invalid or incomplete multibyte or wide character
P7,Bluetooth: <*> ver <*>.<*>
P8,DMI <*>.<*> present.
P9,audit: enabled (after initialization)
P10,Client hung up - probable port-scan
P11,On node <*> totalpages: <*>
P12,kjournald starting. Commit interval <*> seconds
P13,[smux_accept] accepted fd <*> from <*>.<*>.<*>.<*>:<*>
P14,"There is already a security framework initialized, register_security failed."
P15,Bluetooth: RFCOMM TTY layer initialized
P16,VM: killing process sendmail
P17,sshd -TERM succeeded
P18,Kernel logging (proc) stopped.
P19,smartd has fork()ed into background mode. New PID=<*>.
P20,audit: initializing netlink socket (disabled)
P21,"klogd <*>.<*>.<*>, log source = /proc/kmsg started."
P22,RAMDISK: Compressed image found at block <*>
P23,*** info [<*>.c(<*>)]:
P24,succeeded
P25,Started gpm successfully. Entered daemon mode.
P26,ACPI disabled because your bios is from <*> and too old
P27,"SELinux: initialized (dev , type sockfs), uses task SIDs"
P28,Bluetooth: Core ver <*>.<*>
P29,"SELinux: initialized (dev , type tmpfs), uses transition SIDs"
P30,ide: Assuming <*> system bus speed for PIO modes; override with idebus=xx
P31,check pass; user unknown
P32,TCP: Hash tables configured (established <*> bind <*>)
P33,pci_hotplug: PCI Hot Plug PCI Core version: <*>.<*>
P34,"SELinux: initialized (dev , type pipefs), uses task SIDs"
P35,microcode: No suitable data for cpu <*>
P36,"<*> zone: <*> pages, LIFO batch:<*>"
P37,Stopping Canna server: succeeded
P38,Bluetooth: HCI socket layer initialized
P39,BIOS-<*>: <*> - <*> (usable)
P40,session opened for user cyrus by (uid=<*>)
P41,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>.<*>.<*>.<*>.<*> user=<*> _/|\\_ <*> authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>.<*>.<*>.<*> user=<*> _/|\\_ <*> authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>.<*>.<*> user=<*> _/|\\_ authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>.<*>.<*>.<*>.<*>.<*>.<*> user=<*> _/|\\_ authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>.<*>.<*>.<*> user=<*> _/|\\_ authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>.<*>.<*> user=<*>
P42,md: Autodetecting RAID arrays.
P43,isapnp: Scanning for PnP cards...
P44,Kerberos authentication failed
P45,"Device: /dev/hda, is SMART capable. Adding to ""monitor"" list."
P46,exiting
P47,Bluetooth: HCI device and connection manager initialized
P48,Initializing IPsec netlink socket
P49,PCI: Invalid ACPI-PCI IRQ routing table
P50,Bringing up loopback interface: succeeded
P51,<*>-fs: recovery complete.
P52,jserver shutdown <*>
P53,"listening on <*> interface <*>, <*>.<*>.<*>.<*>#<*>"
P54,Kernel command line: ro root=LABEL=/ rhgb quiet
P55,PCI: Found IRQ <*> for device <*>:<*>:<*>.<*>
P56,open(/dev/pts/<*>): No such file or directory
P57,Initializing CPU#<*>
P58,Version <*>.<*>.<*> Starting
P59,file descriptor of service comsat has been closed
P60,ttloop: read: Connection reset by peer
P61,Configuration file /etc/smartd.conf parsed.
P62,SELinux: Unregistering netfilter hooks
P63,Linux version <*>.<*>.<*>-<*>.<*> (bhcompile@bugs.build.redhat.com) (gcc version <*>.<*>.<*> (Red Hat Linux <*>.<*>.<*>-<*>)) #<*> Sat May <*> :<*>:<*> EDT <*>
P64,messagebus <*> 
P65,SELinux: Completing initialization.
P66,<*>-fs: write access will be enabled during recovery.
P67,selinux_register_security: Registering secondary module capability
P68,"SELinux: initialized (dev , type hugetlbfs), not configured for labeling"
P69,uhci_hcd <*>:<*>:<*>.<*>: UHCI Host Controller
P70,crond shutdown succeeded
P71,mapped <*>/<*> trampoline to <*>.
P72,Initializing random number generator: succeeded
P73,PCI: Using configuration type <*>
P74,Bluetooth: RFCOMM ver <*>.<*>
P75,starting BIND <*>.<*>.<*> -u named -t /var/named/chroot
P76,"Warning! Could not relabel with system_u:object_r:devpts_t, not relabeling."
P77,POSIX conformance testing by UNIFIX
P78,PCI: Using IRQ router PIIX/ICH [<*>/<*>] at <*>:<*>:<*>.<*>
P79,"serio: <*> KBD port at <*>,<*> irq <*>"
P80,Failure registering capabilities with the kernel
P81,hda: max request size: <*>
P82,Charge: * * * (-<*>% unknown)
P83,Freeing initrd memory: <*> freed
P84,Linux agpgart interface <*>.<*> (c) Dave Jones
P85,VFS: Disk quotas dquot_<*>.<*>.<*>
P86,Exiting
P87,"<*> FS on <*>, internal journal"
P88,Using tsc for high-res timesource
P89,SCSI subsystem initialized
P90,isapnp: No Plug & Play device found
P91,audit(<*>.<*>:<*>): initialized
P92,kernel time sync <*> 
P93,"<*>: BM-DMA at <*>-<*>, BIOS settings: <*>:DMA, <*>:pio"
P94,klogd shutdown succeeded
P95,wall: user test broadcasted <*> lines (<*> chars)
P96,connect from <*>-<*>-<*>-<*>-cable.canals.ro
P97,Freeing unused kernel memory: <*> freed
P98,VFS: Mounted root (<*> filesystem).
P99,session closed for user news
P100,<*> authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>.<*>.<*> user=root _/|\\_ authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>.<*>.<*> user=root _/|\\_ authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>.<*>.<*>.<*>.<*>.<*>.<*> user=root _/|\\_ authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>.<*>.<*>.<*>.<*>.<*> user=root _/|\\_ authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>.<*>.<*>.<*>.<*> user=root _/|\\_ authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>.<*>.<*>.<*> user=root
P101,NET: Registered protocol family <*>
P102,Detected <*>.<*> MHz processor.
P103,SELinux: Registering netfilter hooks
P104,smartd <*> 
P105,Bluetooth: RFCOMM socket layer initialized
P106,No such internal service: services/stream - DISABLING
P107,shutting down
P108,<*>: irq <*> detected
P109,portmap shutdown <*>
P110,Connection from <*>.<*>.<*>.<*> on illegal port
P111,Home page is http://smartmontools.sourceforge.net/
P112,apm: BIOS version <*>.<*> Flags <*> (Driver version <*>.<*>)
P113,agpgart: Maximum main memory to use for agp memory: <*>
P114,<*> LOWMEM available.
P115,<*>-fs: <*>: <*> orphan inodes deleted
P116,Unable to get command line from client!
P117,ACPI: Interpreter disabled.
P118,"<*>: page allocation failure. order:<*>, mode:<*>"
P119,connection from <*>.<*>.<*>.<*> () at <*> :<*>:<*>  _/|\\_ connection from <*>.<*>.<*>.<*> (<*>.<*>.<*>.<*>) at <*> :<*>:<*>  _/|\\_ connection from <*>.<*>.<*>.<*> (<*>.<*>.<*>) at <*> :<*>:<*>  _/|\\_ connection from <*>.<*>.<*>.<*> (<*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>) at <*> :<*>:<*>  _/|\\_ connection from <*>.<*>.<*>.<*> (<*>.<*>.<*>.<*>.<*>) at <*> :<*>:<*>  _/|\\_ connection from <*>.<*>.<*>.<*> (<*>.<*>.<*>.<*>.<*>.<*>.<*>.at) at <*> :<*>:<*>  _/|\\_ connection from <*>.<*>.<*>.<*> (<*>.<*>.<*>.<*>.<*>.<*>) at <*> :<*>:<*>  _/|\\_ connection from <*>.<*>.<*>.<*> (<*>.<*>.<*>.<*>.<*>.<*>.<*>) at <*> :<*>:<*> 
P120,ttloop: read: Connection timed out
P121,Intel machine check architecture supported.
P122,microcode: <*> already at revision <*> (current=<*>)
P123,privoxy shutdown succeeded
P124,<*> shutdown <*>
P125,"md: md driver <*>.<*>.<*> MAX_MD_DEVS=<*>, MD_SB_DISKS=<*>"
P126,printk: <*> messages suppressed.
P127,CPU: Intel Pentium III (Coppermine) stepping <*>
P128,ntpd <*> 
P129,"CPU: <*> I cache: <*>, <*> D cache: <*>"
P130,Adding <*> swap on /dev/<*>. Priority:-<*> extents:<*>
P131,Couldn't authenticate user
P132,Transparent bridge - <*>:<*>:<*>.<*>
P133,User unknown timed out after <*> seconds at <*> :<*>:<*> 
P134,warning: can't get client address: Connection reset by peer
P135,sendmail shutdown <*>
P136,ICH: chipset revision <*>
P137,snmpd shutdown succeeded
P138,precision = <*>.<*> usec
P139,BIOS-<*>: <*> - <*> (reserved)
P140,[<<*>>] journal_start+<*>/<*> [jbd]
P141,process `syslogd' is using obsolete setsockopt SO_BSDCOMPAT
P142,"Memory: <*>/<*> available (<*> kernel code, <*> reserved, <*> data, <*> init, <*> highmem)"
P143,syslogd shutdown succeeded
P144,inserting floppy driver for <*>.<*>.<*>-<*>.<*>
P145,"uhci_hcd <*>:<*>:<*>.<*>: new USB bus registered, assigned bus number <*>"
P146,BIOS-provided physical RAM map:
P147,VM: killing process httpd
P148,"ANONYMOUS FTP LOGIN FROM <*>.<*>.<*>.<*>, <*>.<*>.<*>-<*>.<*>.<*>.<*> (<*>) _/|\\_ ANONYMOUS FTP LOGIN FROM <*>.<*>.<*>.<*>, <*>-<*>.<*>.<*>.<*>.<*>.<*> (<*>.<*>)"
P149,Authentication failed from <*>.<*>.<*>.<*> (<*>.<*>.<*>.<*>): Permission denied in replay cache code
P150,Kernel log daemon terminating.
P151,SELinux: Setting up existing superblocks.
P152,Setting network parameters: succeeded
P153,frequency initialized <*>.<*> PPM from /var/lib/ntp/drift
