EventID,EventTemplate
P0,"error=<*>, No such file or directory _/|\\_ <*> , <*> error=<*>, No such file or directory"
P1,Failed to get block(s) from mesos-<*>-<*>:<*>
P2,Setting up ContainerLaunchContext
P3,Registering MapOutputTracker
P4,Uncaught exception:
P5,Removing RDD <*>
P6,Running Spark version <*>.<*>.<*>
P7,"Error sending message [message = Heartbeat(<*>,[Lscala.<*>;@<*>,BlockManagerId(<*>, mesos-<*>-<*>, <*>))] in <*> attempts"
P8,"mapred.<*>.<*> is deprecated. Instead, use mapreduce.<*>.<*> _/|\\_ mapred.<*>.<*> is deprecated. Instead, use mapreduce.<*>.<*>.<*> _/|\\_ mapred.<*>.is.<*> is deprecated. Instead, use mapreduce.<*>.<*>"
P9,<*>: Set() _/|\\_ <*>: Set(<*> )
P10,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, yxsu); users with modify permissions: Set(yarn, yxsu)"
P11,RECEIVED SIGNAL <*>: SIGTERM
P12,Adding task set <*>.<*> with <*> tasks
P13,"java.io.InterruptedIOException: Interrupted while waiting for IO on channel java.nio.channels.SocketChannel[connection-pending remote=mesos-master-<*>/<*>.<*>.<*>.<*>:<*>]. <*> millis timeout left.; Host Details : local host is: ""mesos-slave-<*>/<*>.<*>.<*>.<*>""; destination host is: ""mesos-master-<*>"":<*>;"
P14,Told to re-register on heartbeat
P15,Interrupted while trying for connection
P16,Lost executor <*> on mesos-<*>-<*>: Executor heartbeat timed out after <*> ms
P17,Got told to re-register updating block broadcast_<*>_<*>
P18,Exception in connection from <*>/<*>.<*>.<*>.<*>:<*> _/|\\_ Exception in connection from /<*>.<*>.<*>.<*>:<*>
P19,Shutdown hook called
P20,Starting executor ID <*> on host mesos-<*>-<*>
P21,Resubmitting failed stages
P22,"Removed TaskSet <*>.<*>, whose tasks have all completed, from pool"
P23,Resubmitting ShuffleMapStage <*> (reduceByKey at <*>.py:<*>) because some of its tasks had failed: <*>  _/|\\_ Resubmitting ShuffleMapStage <*> (reduceByKey at <*>.py:<*>) because some of its tasks had failed: <*>
P24,"Failed to fetch block shuffle_<*>_<*>_<*>, and will not retry (<*> retries)"
P25,Finished task <*>.<*> in stage <*>.<*> (TID <*>) in <*> (<*>) _/|\\_ Finished task <*>.<*> in stage <*>.<*> (TID <*>). <*> (<*>.<*> .<*> )<*> .
P26,Successfully stopped SparkContext
P27,Error occurred while fetching local blocks
P28,"Added <*>_<*>_<*> in memory on <*>.<*>.<*>.<*>:<*> (size: <*>.<*> MB, free: <*>.<*> GB) _/|\\_ Added <*>_<*>_<*> in memory on <*>:<*> (size: <*>.<*> MB, free: <*>.<*> GB)"
P29,Removing RDD <*> from persistence list
P30,Waiting for <*> to be <*> . _/|\\_ Waiting for <*> to be <*>.
P31,Abandoning BP-<*>-<*>.<*>.<*>.<*>-<*>:blk_<*>_<*>
P32,Reading broadcast variable <*> took <*> ms
P33,Host added was in lost list earlier: mesos-<*>-<*>
P34,"Lost task <*>.<*> in stage <*>.<*> (TID <*>, mesos-<*>-<*>): FetchFailed(null, shuffleId=<*>, mapId=-<*>, reduceId=<*>, message="
P35,Connecting to ResourceManager at mesos-master-<*>/<*>.<*>.<*>.<*>:<*>
P36,MemoryStore started with capacity <*>.<*> 
P37,Driver commanded a shutdown
P38,"Block broadcast_<*> stored as <*> in memory (estimated size <*>.<*> B, free <*>.<*> ) _/|\\_ Block broadcast_<*> stored as <*> in memory (estimated size <*>.<*> B, free <*>.<*> B) _/|\\_ Block broadcast_<*>_<*> stored as <*> in memory (estimated size <*>.<*> B, free <*>.<*> B) _/|\\_ Block broadcast_<*>_<*> stored as <*> in memory (estimated size <*>.<*> B, free <*>.<*> )"
P39,"Task <*> failed because while it was being computed, its executorexited for a reason unrelated to the task. Not counting this failure towards the maximum number of failures for the task."
P40,Getting <*> non-empty blocks out of <*> blocks
P41,OutputCommitCoordinator stopped!
P42,"Lost task <*>.<*> in stage <*>.<*> (TID <*>, mesos-<*>-<*>): ExecutorLostFailure (executor <*> exited caused by one of the running tasks) Reason: <*> : <*> : mesos-<*>-<*>. <*> : <*>. <*>: <*> -<*>. _/|\\_ Lost task <*>.<*> in stage <*>.<*> (TID <*>, mesos-<*>-<*>): ExecutorLostFailure (executor <*> exited caused by one of the running tasks) Reason: <*> "
P43,Doing the fetch; tracker endpoint = NettyRpcEndpointRef(spark://MapOutputTracker@<*>.<*>.<*>.<*>:<*>)
P44,"Error sending result RpcResponse{requestId=<*>, body=NioManagedBuffer{buf=java.nio.HeapByteBuffer[pos=<*> lim=<*> cap=<*>]}} to <*>/<*>.<*>.<*>.<*>:<*>; closing connection _/|\\_ Error sending result RpcResponse{requestId=<*>, body=NioManagedBuffer{buf=java.nio.HeapByteBuffer[pos=<*> lim=<*> cap=<*>]}} to /<*>.<*>.<*>.<*>:<*>; closing connection"
P45,MapOutputTrackerMasterEndpoint stopped!
P46,Cleaned <*> 
P47,Saved output of task 'attempt_<*>_<*>_m_<*>_<*>' to hdfs://<*>.<*>.<*>.<*>:<*>/pjhe/test/<*>/_temporary/<*>/task_<*>_<*>_m_<*>
P48,Created broadcast <*> from textFile at NativeMethodAccessorImpl.java:-<*>
P49,<*> : ResultStage <*> (collect at <*>.py:<*>) _/|\\_ ResultStage <*> (collect at <*>.py:<*>) <*> .<*> 
P50,Reporter thread fails <*> time(s) in a row.
P51,"Block <*>_<*> stored as <*> in memory (estimated size <*>.<*> , free <*>.<*> KB) _/|\\_ Block <*>_<*>_<*> stored as <*> in memory (estimated size <*>.<*> , free <*>.<*> KB) _/|\\_ Block <*>_<*> stored as <*> in memory (estimated size <*>.<*> KB, free <*>.<*> KB) _/|\\_ Block <*>_<*>_<*> stored as <*> in memory (estimated size <*>.<*> KB, free <*>.<*> KB) _/|\\_ Block <*>_<*>_<*> stored as <*> in memory (estimated size <*>.<*> KB, free <*>.<*> ) _/|\\_ Block <*>_<*> stored as <*> in memory (estimated size <*>.<*> KB, free <*>.<*> )"
