Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,1.55,9,11,0.521,0.000,0.700,0.000,0.000,0.000
Linux,0.71,358,338,0.374,0.076,0.773,0.293,0.311,0.302
Apache,1.18,29,29,1.000,0.093,1.000,0.310,0.310,0.310
Zookeeper,1.68,75,89,0.985,0.503,0.829,0.533,0.449,0.488
Hadoop,4.22,230,236,0.629,0.246,0.824,0.317,0.309,0.313
HealthApp,3.84,150,156,0.985,0.473,0.843,0.427,0.410,0.418
OpenStack,8.64,37,48,0.385,0.019,0.753,0.135,0.104,0.118
HPC,7.50,72,74,0.854,0.892,0.836,0.639,0.622,0.630
Mac,2.81,622,626,0.823,0.366,0.748,0.328,0.326,0.327
OpenSSH,16.50,39,38,0.390,0.151,0.727,0.282,0.289,0.286
Spark,389.37,368,236,0.723,0.413,0.550,0.204,0.318,0.248
Thunderbird,438.18,8379,1241,0.605,0.141,0.151,0.034,0.230,0.059
BGL,112.09,409,320,0.763,0.719,0.510,0.320,0.409,0.359
HDFS,301.49,35,46,1.000,0.000,0.716,0.000,0.000,0.000
