,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.23,0.15,0.1,0.12,0.14,0.11,0.18,0.11,0.21,0.12,0.11,0.16,0.14,0.12,0.143
identified_templates,6.0,105.0,6.0,48.0,94.0,68.0,32.0,42.0,292.0,22.0,29.0,157.0,97.0,13.0,72.214
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.976,0.403,1.0,0.988,0.933,0.888,0.331,0.875,0.805,0.489,0.92,0.975,0.904,0.731,0.801
PA,0.0,0.198,0.27,0.667,0.166,0.422,0.018,0.856,0.39,0.073,0.396,0.44,0.885,0.0,0.341
FGA,0.714,0.843,1.0,0.878,0.788,0.853,0.693,0.886,0.758,0.792,0.769,0.85,0.737,0.889,0.818
PTA,0.0,0.552,0.167,0.562,0.319,0.618,0.094,0.762,0.418,0.182,0.414,0.503,0.598,0.0,0.371
RTA,0.0,0.492,0.167,0.54,0.263,0.56,0.07,0.696,0.358,0.154,0.333,0.53,0.483,0.0,0.332
FTA,0.0,0.52,0.167,0.551,0.288,0.587,0.08,0.727,0.385,0.167,0.369,0.516,0.535,0.0,0.349
