EventID,EventTemplate
P0,Processing the event EventType: <*>_<*>
P1,MRAppMaster metrics system started
P2,DFSOutputStream ResponseProcessor exception for block BP-<*>-<*>.<*>.<*>.<*>-<*>:blk_<*>_<*>
P3,Adding #<*> tokens and #<*> secret keys for NM use for launching container
P4,Auth successful for job_<*>_<*> (auth:SIMPLE)
P5,Emitting job history data to the timeline server is not enabled
P6,"getResources() for application_<*>_<*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:-<*>> knownNMs=<*>"
P7,Received completed container container_<*>_<*>_<*>_<*>
P8,Diagnostics report from attempt_<*>_<*>_m_<*>_<*>: Container killed by the ApplicationMaster.
P9,Input size for job job_<*>_<*> = <*>. Number of splits = <*>
P10,"Recalculating schedule, headroom=<memory:<*>, vCores:-<*>>"
P11,Extract jar:file:/D:/hadoop-<*>.<*>.<*>-localbox/share/hadoop/yarn/hadoop-yarn-common-<*>.<*>.<*>-SNAPSHOT.jar!/webapps/mapreduce to C:\\Users\\msrabi\\AppData\\Local\\Temp\\Jetty_<*>_<*>_<*>_<*>_<*>_mapreduce____.<*>\\webapp
P12,Executing with tokens:
P13,Default file system [hdfs://msra-sa-<*>:<*>]
P14,Resolved <*>-<*>-<*>.fareast.corp.microsoft.com to /default-rack _/|\\_ Resolved <*>.fareast.corp.microsoft.com to /default-rack _/|\\_ Resolved <*>-<*>.fareast.corp.microsoft.com to /default-rack
P15,Added attempt_<*>_<*>_m_<*>_<*> to list of failed maps
P16,Logging to org.<*>.impl.<*>(org.mortbay.log) via org.mortbay.log.<*>
P17,Before Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>
P18,Upper limit on the thread pool size is <*>
P19,Shuffle port returned by ContainerManager for attempt_<*>_<*>_m_<*>_<*> : <*>
P20,Adding protocol org.apache.hadoop.mapreduce.<*>.api.MRClientProtocolPB to the server
P21,Http request log for http.requests.mapreduce is not defined
P22,"MRAppMaster launching normal, non-uberized, multi-container job job_<*>_<*>."
P23,JOB_CREATE job_<*>_<*>
P24,All maps assigned. Ramping up all remaining reduces:<*>
P25,OutputCommitter set in config null
P26,<*>_<*>_<*> Transitioned from <*> to <*> _/|\\_ <*>_<*>_<*>_<*>_<*> Transitioned from <*> to <*>
P27,Instantiated MRClientService at MININT-<*>.fareast.corp.microsoft.com/<*>.<*>.<*>.<*>:<*>
P28,Container complete event for unknown container id container_<*>_<*>_<*>_<*>
P29,Processing the event EventType: CONTAINER_REMOTE_CLEANUP for container container_<*>_<*>_<*>_<*> taskAttempt attempt_<*>_<*>_m_<*>_<*>
P30,queue: default
P31,"Slow ReadProcessor read fields took <*> (threshold=<*>); ack: seqno: -<*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*>, targets: [<*>.<*>.<*>.<*>:<*>, <*>.<*>.<*>.<*>:<*>]"
P32,Scheduled snapshot period at <*> second(s).
P33,Opening proxy : <*>.fareast.corp.microsoft.com:<*>
P34,blacklistDisablePercent is <*>
P35,"Cannot assign container Container: [ContainerId: container_<*>_<*>_<*>_<*>, NodeId: MSRA-SA-<*>.fareast.corp.microsoft.com:<*>, NodeHttpAddress: MSRA-SA-<*>.fareast.corp.microsoft.com:<*>, Resource: <memory:<*>, vCores:<*>>, Priority: <*>, Token: Token { kind: ContainerToken, service: <*>.<*>.<*>.<*>:<*> }, ] for a map as either container memory less than required <memory:<*>, vCores:<*>> or no pending map tasks - maps.isEmpty=true"
P36,Web app /mapreduce started at <*>
P37,<*> from attempt_<*>_<*>_m_<*>_<*>: <*>: java.net.NoRouteToHostException: No Route to Host from MININT-<*>/<*>.<*>.<*>.<*> to msra-sa-<*>:<*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost _/|\\_ <*>: attempt_<*>_<*>_m_<*>_<*> - <*> : java.net.NoRouteToHostException: No Route to Host from MININT-<*>/<*>.<*>.<*>.<*> to msra-sa-<*>:<*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost
P38,Putting shuffle token in serviceData
P39,Num completed Tasks: <*>
P40,Number of reduces for job job_<*>_<*> = <*>
P41,Registering class org.apache.hadoop.mapreduce.<*>.<*>.<*>.<*>.<*> for class org.apache.hadoop.mapreduce.<*>.<*>.<*> _/|\\_ Registering class org.apache.hadoop.mapreduce.<*>.<*>.<*>.<*> for class org.apache.hadoop.mapreduce.<*>.<*>.<*>.<*> _/|\\_ Registering class org.apache.hadoop.mapreduce.<*>.<*> for class org.apache.hadoop.mapreduce.<*>.<*> _/|\\_ Registering class org.apache.hadoop.mapreduce.<*>.<*>.<*>.<*> for class org.apache.hadoop.mapreduce.<*>.<*>.<*>
P42,Address change detected. Old: msra-sa-<*>/<*>.<*>.<*>.<*>:<*> New: msra-sa-<*>:<*>
P43,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context <*>
P44,Added global filter 'safety' (class=org.apache.hadoop.http.<*>$QuotingInputFilter)
P45,We launched <*> speculations. Sleeping <*> milliseconds.
P46,Starting Socket Reader #<*> for port <*>
P47,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>
P48,DataStreamer Exception
P49,Reduce slow start threshold reached. Scheduling reduces.
P50,IPC Server <*> : starting _/|\\_ IPC Server <*>: starting
P51,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter
P52,ERROR IN CONTACTING RM.
P53,Done acknowledgement from attempt_<*>_<*>_m_<*>_<*>
P54,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: -<*>)"
P55,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
P56,Connecting to ResourceManager at msra-sa-<*>/<*>.<*>.<*>.<*>:<*>
