EventID,EventTemplate
P0,autorun ... _/|\\_ <*> autorun ...
P1,<*>.<*> Using HPET based timekeeping. _/|\\_ Using HPET based timekeeping.
P2,"MPBSClusterQuery(base,RCount,EMsg,SC)"
P3,[ib_sm_assign.c:<*>]: <*> LID <*> because NO RESPONSE
P4,DMI <*>.<*> present.
P5,Setting APIC routing to flat
P6,Vendor: FUJITSU Model: <*> Rev: <*>
P7,<*>: <*>:<*>:(<*>.c:<*>:<*>_<*>_<*>_<*>_<*>()) previously skipped <*> similar messages _/|\\_ <*>: <*>:<*>:(<*>_<*>.c:<*>:<*>_<*>_<*>()) previously skipped <*> similar messages
P8,"__MPBSSystemQuery(base,SC)"
P9,INFO: CLASSCFG[adminhigh] set to FSWEIGHT <*>
P10,"Device: /dev/sda, Bad IEC (SMART) mode page, err=<*>, skip device"
P11,getpwnam failed for #<*>#
P12,Out of Memory: Killed process <*> (python).
P13,sshd -TERM succeeded
P14,[INFO]: remove appId <*> from watchd list.
P15,[ib_sm_sweep.c:<*>]: No <*> change _/|\\_ [ib_sm_sweep.c:<*>]: No <*> change <*>
P16,__journal_remove_journal_head: freeing b_committed_data
