EventID,EventTemplate
P0,Starting pcmcia: succeeded
P1,Setting network parameters: succeeded
P2,audit(<*>.<*>:<*>): initialized
P3,selinux_register_security: Registering secondary module capability
P4,Checking 'hlt' instruction... OK.
P5,klogd startup succeeded
P6,Console: colour VGA+ <*>
P7,ALERT exited abnormally with [<*>]
P8,Enabling fast FPU save and restore... done.
P9,DMI <*>.<*> present.
P10,mapped <*>/<*> trampoline to <*>.
P11,On node <*> totalpages: <*>
P12,You can enable it with acpi=force
P13,cupsd startup succeeded
P14,PCI: Probing PCI hardware <*>  _/|\\_ PCI: Probing PCI hardware
P15,Detected <*>.<*> MHz processor.
P16,PCI: Using configuration type <*>
P17,NET: Registered protocol family <*>
P18,ACPI disabled because your bios is from <*> and too old
P19,audit: initializing netlink socket (disabled)
P20,"ANONYMOUS FTP LOGIN FROM <*>.<*>.<*>.<*>, (anonymous)"
P21,"klogd <*>.<*>.<*>, log source = /proc/kmsg started."
P22,"PCI: PCI BIOS revision <*>.<*> entry at <*>, last bus=<*>"
P23,creating device node '/udev/<*>'
P24,*** info [mice.c(<*>)]:
P25,Capability LSM initialized
P26,pci_hotplug: PCI Hot Plug PCI Core version: <*>.<*>
P27,<*> hash table entries: <*> (order <*> bytes) _/|\\_ <*> hash table entries: <*> (order: <*> bytes) _/|\\_ <*> hash table entries: <*> (order <*>: <*> bytes)
P28,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>.<*>.<*> _/|\\_ authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>.<*>.<*> =<*> _/|\\_ authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>.<*>.<*>.<*> =<*> _/|\\_ authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>.<*>.<*>.<*>.<*>.<*>.<*> =<*> _/|\\_ authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>.<*>.<*>.<*> _/|\\_ authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>.<*>.<*>.<*>.<*> _/|\\_ authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>.<*>
P29,notify question section contains no SOA
P30,portmap startup succeeded
P31,check pass; user unknown
P32,Intel machine check reporting enabled on CPU#<*>.
P33,SELinux: Starting in permissive mode
P34,HCI daemon ver <*>.<*> started
P35,<*>: Auto-detected intellimouse PS/<*>
P36,"<*> zone: <*> pages, LIFO batch:<*>"
P37,getpeername (ftpd): Transport endpoint is not connected
P38,<*> LOWMEM available.
P39,apm: BIOS version <*>.<*> Flags <*> (Driver version <*>.<*>)
P40,BIOS-<*>: <*> - <*> (usable)
P41,isapnp: Scanning for PnP cards...
P42,Kerberos authentication failed
P43,"CPU <*> irqstacks, hard=<*> soft=<*>"
P44,hcid startup succeeded
P45,ACPI: Interpreter disabled.
P46,SELinux: Registering netfilter hooks
P47,Received SNMP packet(s) from <*>.<*>.<*>.<*>
P48,connection from <*>.<*>.<*>.<*> (<*>.<*>.<*>.<*>.<*>.<*>.<*>.at) at <*> :<*>:<*>  _/|\\_ connection from <*>.<*>.<*>.<*> (<*>.<*>.<*>.<*>.<*>.<*>) at <*> :<*>:<*>  _/|\\_ connection from <*>.<*>.<*>.<*> () at <*> :<*>:<*>  _/|\\_ connection from <*>.<*>.<*>.<*> (<*>.<*>.<*>.<*>.<*>) at <*> :<*>:<*>  _/|\\_ connection from <*>.<*>.<*>.<*> (<*>.<*>.<*>.<*>) at <*> :<*>:<*>  _/|\\_ connection from <*>.<*>.<*>.<*> (<*>.<*>.<*>) at <*> :<*>:<*> 
P49,Linux Plug and Play Support <*>.<*> (c) Adam Belay
P50,cupsd shutdown succeeded
P51,Initializing Cryptographic API
P52,Bringing up loopback interface: succeeded
P53,Calibrating delay loop... <*>.<*> BogoMIPS
P54,ACPI: Subsystem revision <*>
P55,PCI: Invalid ACPI-PCI IRQ routing table
P56,CPU: Intel Pentium III (Coppermine) stepping <*>
P57,Security Scaffold <*>.<*>.<*> initialized
P58,Initializing CPU#<*>
P59,Version <*>.<*>.<*> Starting
P60,zapping low mappings.
P61,Authentication failed from <*>.<*>.<*>.<*> (<*>.<*>.<*>.<*>): Permission denied in replay cache code
P62,isapnp: No Plug & Play device found
P63,"CPU: <*> I cache: <*>, <*> D cache: <*>"
P64,rpc.<*> startup succeeded
P65,Linux version <*>.<*>.<*>-<*>.<*> (bhcompile@bugs.build.redhat.com) (gcc version <*>.<*>.<*> (Red Hat Linux <*>.<*>.<*>-<*>)) #<*> Sat May <*> :<*>:<*> EDT <*>
P66,Authentication failed from <*>.<*>.<*>.<*> (<*>.<*>.<*>.<*>): Software caused connection abort
P67,Couldn't authenticate user
P68,Real Time Clock Driver <*>.<*>
P69,session opened for user <*> by (uid=<*>) _/|\\_ session opened for user <*> by <*>(uid=<*>)
P70,Linux agpgart interface <*>.<*> (c) Dave Jones
P71,Transparent bridge - <*>:<*>:<*>.<*>
P72,ROOT LOGIN ON <*>
P73,"Memory: <*>/<*> available (<*> kernel code, <*> reserved, <*> data, <*> init, <*> highmem)"
P74,session closed for user <*>
P75,authentication failure; logname= uid=<*> euid=<*> tty=:<*> ruser= rhost=
P76,Built <*> zonelists
P77,Initializing random number generator: succeeded
P78,irqbalance startup succeeded
P79,BIOS-<*>: <*> - <*> (reserved)
P80,warning: can't get client address: Connection reset by peer
P81,syslogd startup succeeded
P82,POSIX conformance testing by UNIFIX
P83,"Total HugeTLB memory allocated, <*>"
P84,PCI: Using IRQ router PIIX/ICH [<*>/<*>] at <*>:<*>:<*>.<*>
P85,Failure registering capabilities with the kernel
P86,<*> HIGHMEM available.
P87,BIOS-provided physical RAM map:
P88,Kernel command line: ro root=LABEL=/ rhgb quiet
P89,removing device node '/udev/<*>'
P90,User unknown timed out after <*> seconds at Sat Jun <*> :<*>:<*> 
P91,usbcore: registered new driver <*>
P92,sdpd <*> 
P93,"There is already a security framework initialized, register_security failed."
P94,Intel machine check architecture supported.
P95,VFS: Disk quotas dquot_<*>.<*>.<*>
P96,ACPI: ACPI tables contain no PCI IRQ routing entries
P97,Using tsc for high-res timesource
P98,Enabling unmasked SIMD FPU exception support... done.
P99,
P100,restart.
P101,restart.
P102,restart.
P103,restart.
P104,restart.
P105,restart.
P106,restart.
P107,SELinux:  Initializing.
